,open,high,low,close,volume,datetime
0,1.74,1.74,1.74,1.74,147,2022-05-27 13:30:00
1,1.75,1.75,1.75,1.75,2841,2022-05-27 13:35:00
2,1.76,1.76,1.76,1.76,878,2022-05-27 13:50:00
3,1.77,1.77,1.77,1.77,600,2022-05-27 13:56:00
4,1.765,1.765,1.765,1.765,500,2022-05-27 14:03:00
5,1.7606,1.7606,1.7606,1.7606,895,2022-05-27 14:08:00
6,1.765,1.765,1.765,1.765,339,2022-05-27 14:27:00
7,1.77,1.77,1.77,1.77,291,2022-05-27 14:35:00
8,1.77,1.77,1.77,1.77,2000,2022-05-27 14:41:00
9,1.77,1.77,1.77,1.77,1365,2022-05-27 14:49:00
10,1.77,1.77,1.77,1.77,100,2022-05-27 14:54:00
11,1.76,1.76,1.76,1.76,3000,2022-05-27 14:58:00
12,1.77,1.77,1.77,1.77,100,2022-05-27 15:04:00
13,1.77,1.77,1.77,1.77,100,2022-05-27 15:06:00
14,1.77,1.77,1.77,1.77,100,2022-05-27 15:10:00
15,1.79,1.79,1.79,1.79,100,2022-05-27 15:23:00
16,1.7838,1.7838,1.7838,1.7838,810,2022-05-27 15:54:00
17,1.77,1.77,1.77,1.77,100,2022-05-27 16:51:00
18,1.7799,1.78,1.7799,1.78,2000,2022-05-27 16:57:00
19,1.7799,1.7799,1.7799,1.7799,1000,2022-05-27 17:01:00
20,1.7793,1.7793,1.7793,1.7793,300,2022-05-27 17:06:00
21,1.775,1.775,1.775,1.775,100,2022-05-27 17:07:00
22,1.775,1.775,1.775,1.775,100,2022-05-27 17:18:00
23,1.77,1.77,1.77,1.77,884,2022-05-27 18:00:00
24,1.7755,1.7755,1.7755,1.7755,2000,2022-05-27 18:07:00
25,1.77,1.77,1.77,1.77,132,2022-05-27 18:41:00
26,1.7791,1.7791,1.7791,1.7791,100,2022-05-27 18:51:00
27,1.7799,1.7799,1.7799,1.7799,885,2022-05-27 19:38:00
28,1.77,1.77,1.76,1.76,1070,2022-05-27 19:57:00
29,1.77,1.77,1.77,1.77,102,2022-05-27 20:00:00
30,1.78,1.78,1.78,1.78,1200,2022-05-27 20:45:00
31,1.78,1.78,1.78,1.78,1200,2022-05-27 20:56:00
32,1.8,1.8,1.7944,1.7944,538,2022-05-31 13:46:00
33,1.82,1.8299,1.818,1.827,1500,2022-05-31 13:59:00
34,1.818,1.83,1.818,1.8248,1500,2022-05-31 14:00:00
35,1.83,1.84,1.83,1.84,2000,2022-05-31 14:04:00
36,1.8397,1.8397,1.8397,1.8397,2717,2022-05-31 14:08:00
37,1.815,1.815,1.815,1.815,1500,2022-05-31 14:09:00
38,1.8299,1.8299,1.8299,1.8299,2500,2022-05-31 14:15:00
39,1.81,1.81,1.81,1.81,300,2022-05-31 14:30:00
40,1.81,1.81,1.8099,1.8099,2600,2022-05-31 14:32:00
41,1.81,1.81,1.81,1.81,3976,2022-05-31 14:38:00
42,1.8199,1.8199,1.8199,1.8199,3000,2022-05-31 14:55:00
43,1.81,1.81,1.81,1.81,120,2022-05-31 15:02:00
44,1.815,1.815,1.81,1.814,439,2022-05-31 15:20:00
45,1.8111,1.8111,1.8111,1.8111,100,2022-05-31 15:28:00
