,open,high,low,close,volume,datetime
0,414.06,414.06,414.06,414.06,100,2022-05-27 11:18:00
1,413.5,413.5,413.5,413.5,100,2022-05-27 11:41:00
2,413.5,413.5,413.5,413.5,200,2022-05-27 11:42:00
3,413.5,413.5,413.5,413.5,100,2022-05-27 11:43:00
4,413.2,413.2,413.2,413.2,100,2022-05-27 11:50:00
5,413.7,413.7,413.7,413.7,200,2022-05-27 12:00:00
6,413.7,413.7,413.7,413.7,100,2022-05-27 12:02:00
7,414.58,414.58,414.58,414.58,200,2022-05-27 12:05:00
8,419.3899,419.3899,419.3899,419.3899,200,2022-05-27 13:08:00
9,418.96,418.96,418.96,418.96,103,2022-05-27 13:17:00
10,418.59,418.6,418.59,418.59,881,2022-05-27 13:22:00
11,418.48,418.48,418.48,418.48,181,2022-05-27 13:24:00
12,417.91,420.0,417.91,419.82,13385,2022-05-27 13:30:00
13,420.1,421.92,420.1,421.5,14907,2022-05-27 13:31:00
14,421.38,422.175,421.38,422.14,4387,2022-05-27 13:32:00
15,422.21,422.21,421.22,421.27,6500,2022-05-27 13:33:00
16,421.425,421.43,420.1,420.27,3031,2022-05-27 13:34:00
17,420.13,421.425,419.5,421.27,6910,2022-05-27 13:35:00
18,421.49,422.5,421.49,422.028,2807,2022-05-27 13:36:00
19,421.98,422.38,421.34,421.66,4100,2022-05-27 13:37:00
20,421.74,422.39,421.74,421.93,5779,2022-05-27 13:38:00
21,421.94,421.94,421.34,421.61,5038,2022-05-27 13:39:00
22,421.6,422.51,421.48,421.87,5050,2022-05-27 13:40:00
23,421.78,422.22,421.45,421.88,2981,2022-05-27 13:41:00
24,421.56,421.56,420.3107,420.88,2700,2022-05-27 13:42:00
25,420.65,420.835,420.0,420.21,7470,2022-05-27 13:43:00
26,420.22,420.6,419.55,419.72,2200,2022-05-27 13:44:00
27,419.76,420.51,419.66,420.46,6990,2022-05-27 13:45:00
28,420.35,420.9,420.07,420.2,2730,2022-05-27 13:46:00
29,420.63,420.99,420.0,420.03,2365,2022-05-27 13:47:00
30,420.61,421.01,420.27,420.3,1028,2022-05-27 13:48:00
31,420.54,420.57,420.09,420.33,2700,2022-05-27 13:49:00
32,420.44,420.44,419.87,420.12,1200,2022-05-27 13:50:00
33,420.64,421.07,420.47,421.01,2000,2022-05-27 13:51:00
34,420.75,420.875,420.1,420.1,1600,2022-05-27 13:52:00
35,420.05,420.05,419.61,419.86,2150,2022-05-27 13:53:00
36,420.56,421.24,420.56,420.75,1305,2022-05-27 13:54:00
37,421.01,421.71,420.97,421.44,3600,2022-05-27 13:55:00
38,421.9,422.29,421.62,422.2,4317,2022-05-27 13:56:00
39,422.13,422.375,421.73,421.81,10662,2022-05-27 13:57:00
40,421.81,422.02,421.23,421.46,6049,2022-05-27 13:58:00
41,421.6,421.6,421.21,421.33,900,2022-05-27 13:59:00
42,421.17,422.0,421.0,421.13,6500,2022-05-27 14:00:00
43,420.59,421.02,420.38,421.02,800,2022-05-27 14:01:00
44,421.44,421.44,420.86,421.18,600,2022-05-27 14:02:00
45,421.43,421.83,421.43,421.83,900,2022-05-27 14:03:00
46,421.99,421.99,421.23,421.23,1000,2022-05-27 14:04:00
47,421.0621,421.34,421.0621,421.08,515,2022-05-27 14:05:00
48,421.5,421.52,421.11,421.52,600,2022-05-27 14:06:00
49,421.55,421.59,421.08,421.25,14252,2022-05-27 14:07:00
50,420.98,421.9,420.9,421.9,2320,2022-05-27 14:08:00
51,422.06,422.27,422.06,422.13,2252,2022-05-27 14:09:00
52,422.26,422.725,422.26,422.54,17410,2022-05-27 14:10:00
53,422.58,422.76,422.16,422.64,3270,2022-05-27 14:11:00
54,422.18,422.18,421.74,422.01,2600,2022-05-27 14:12:00
55,422.08,422.08,421.99,421.99,600,2022-05-27 14:13:00
