,open,high,low,close,volume,datetime
0,0.726,0.726,0.726,0.726,1000,2022-05-27 12:21:00
1,0.739,0.739,0.739,0.739,338,2022-05-27 13:07:00
2,0.73,0.73,0.73,0.73,301,2022-05-27 13:16:00
3,0.7306,0.7306,0.7306,0.7306,100,2022-05-27 13:26:00
4,0.7288,0.7288,0.7288,0.7288,3501,2022-05-27 13:30:00
5,0.72835,0.7366,0.72,0.72,2142,2022-05-27 13:31:00
6,0.7101,0.7101,0.7101,0.7101,200,2022-05-27 13:32:00
7,0.7101,0.72,0.7015,0.72,8429,2022-05-27 13:33:00
8,0.72,0.72,0.72,0.72,2933,2022-05-27 13:34:00
9,0.72,0.72,0.7016,0.7016,987,2022-05-27 13:35:00
10,0.7017,0.7274,0.7016,0.7016,1627,2022-05-27 13:36:00
11,0.7015,0.702,0.6917,0.6917,36456,2022-05-27 13:37:00
12,0.6917,0.7256,0.6912,0.7256,7989,2022-05-27 13:38:00
13,0.6912,0.7243,0.6912,0.6912,2100,2022-05-27 13:39:00
14,0.7054,0.7054,0.692,0.695,1940,2022-05-27 13:40:00
15,0.717899,0.717899,0.695,0.6951,11491,2022-05-27 13:41:00
16,0.6951,0.7159,0.695,0.695,2200,2022-05-27 13:42:00
17,0.6951,0.6951,0.6951,0.6951,400,2022-05-27 13:43:00
18,0.6952,0.6952,0.6952,0.6952,600,2022-05-27 13:44:00
19,0.6952,0.7,0.6925,0.6925,4110,2022-05-27 13:45:00
20,0.6925,0.695,0.6857,0.69,36278,2022-05-27 13:46:00
21,0.6939,0.6939,0.69005,0.6904,1880,2022-05-27 13:47:00
22,0.6902,0.6914,0.6857,0.68585,17972,2022-05-27 13:48:00
23,0.6858,0.6917,0.6858,0.69,8487,2022-05-27 13:49:00
24,0.69,0.6907,0.69,0.69,5722,2022-05-27 13:50:00
25,0.69,0.693,0.69,0.693,21291,2022-05-27 13:51:00
26,0.69,0.7006,0.69,0.7006,2644,2022-05-27 13:52:00
27,0.69005,0.69005,0.69005,0.69005,200,2022-05-27 13:53:00
28,0.69,0.695,0.69,0.695,650,2022-05-27 13:54:00
29,0.6955,0.6955,0.6955,0.6955,200,2022-05-27 13:55:00
30,0.6955,0.7021,0.6955,0.701,1000,2022-05-27 13:56:00
31,0.6995,0.6995,0.6995,0.6995,200,2022-05-27 13:57:00
32,0.6998,0.7054,0.6998,0.70105,19545,2022-05-27 13:58:00
33,0.70105,0.70105,0.6998,0.6998,200,2022-05-27 13:59:00
34,0.69985,0.7163,0.69985,0.69985,1200,2022-05-27 14:00:00
35,0.7163,0.7163,0.69985,0.702,1200,2022-05-27 14:01:00
36,0.702,0.702,0.702,0.702,200,2022-05-27 14:02:00
37,0.7021,0.71,0.7021,0.71,5011,2022-05-27 14:03:00
38,0.70215,0.7022,0.7021,0.7021,400,2022-05-27 14:04:00
39,0.7021,0.709,0.7021,0.7023,14310,2022-05-27 14:05:00
40,0.7097,0.7099,0.70285,0.7099,500,2022-05-27 14:06:00
41,0.704001,0.7099,0.704001,0.7074,1220,2022-05-27 14:07:00
42,0.7048,0.7048,0.7048,0.7048,100,2022-05-27 14:08:00
43,0.7048,0.7075,0.7048,0.705,900,2022-05-27 14:09:00
44,0.70765,0.71,0.7053,0.71,19869,2022-05-27 14:10:00
45,0.71,0.71,0.7053,0.7099,3968,2022-05-27 14:11:00
46,0.7099,0.71,0.7054,0.7078,10503,2022-05-27 14:12:00
47,0.7101,0.7101,0.7055,0.7055,300,2022-05-27 14:13:00
48,0.71,0.71,0.70555,0.70555,200,2022-05-27 14:14:00
49,0.70545,0.70545,0.70545,0.70545,200,2022-05-27 14:15:00
50,0.7054,0.7054,0.7054,0.7054,100,2022-05-27 14:16:00
51,0.7049,0.7208,0.7049,0.7049,400,2022-05-27 14:17:00
52,0.71005,0.71005,0.71,0.71,500,2022-05-27 14:18:00
53,0.71,0.71,0.71,0.71,100,2022-05-27 14:19:00
54,0.71005,0.7199,0.71,0.7199,1113,2022-05-27 14:20:00
55,0.71015,0.715049,0.7101,0.7101,432,2022-05-27 14:21:00
56,0.7189,0.7189,0.7189,0.7189,100,2022-05-27 14:22:00
57,0.7101,0.7101,0.7101,0.7101,100,2022-05-27 14:23:00
58,0.7101,0.7102,0.7101,0.7102,20400,2022-05-27 14:24:00
59,0.7103,0.7167,0.7087,0.7098,39707,2022-05-27 14:25:00
60,0.705,0.7098,0.702,0.702,910,2022-05-27 14:26:00
61,0.7078,0.7078,0.7078,0.7078,134,2022-05-27 14:27:00
62,0.702,0.7091,0.702,0.7091,8500,2022-05-27 14:28:00
63,0.7092,0.7143,0.7082,0.7143,42000,2022-05-27 14:29:00
64,0.7143,0.71505,0.7021,0.71505,1552,2022-05-27 14:30:00
65,0.71505,0.7237,0.71505,0.7237,1727,2022-05-27 14:31:00
66,0.72715,0.72715,0.7143,0.7143,11624,2022-05-27 14:32:00
67,0.7143,0.72,0.7101,0.7101,45500,2022-05-27 14:33:00
68,0.7199,0.72,0.71865,0.71865,900,2022-05-27 14:34:00
69,0.7101,0.72,0.7101,0.72,21605,2022-05-27 14:37:00
70,0.72,0.725,0.72,0.72,15596,2022-05-27 14:38:00
71,0.72,0.72,0.711501,0.711501,18330,2022-05-27 14:39:00
72,0.7116,0.7249,0.7115,0.7249,4890,2022-05-27 14:40:00
73,0.72495,0.72495,0.7118,0.7179,900,2022-05-27 14:41:00
74,0.7179,0.724051,0.7179,0.72,26727,2022-05-27 14:42:00
