,open,high,low,close,volume,datetime
0,9.87,9.87,9.87,9.87,5000,2022-05-27 13:30:00
1,9.8701,9.8701,9.8701,9.8701,250,2022-05-27 13:37:00
2,9.87,9.87,9.87,9.87,300,2022-05-27 13:45:00
3,9.87,9.87,9.86,9.86,50700,2022-05-27 13:46:00
4,9.87,9.87,9.87,9.87,100,2022-05-27 14:22:00
5,9.8783,9.8783,9.8783,9.8783,500,2022-05-27 15:44:00
6,9.875,9.88,9.87,9.88,3140,2022-05-27 16:44:00
7,9.85,9.85,9.85,9.85,250,2022-05-31 13:30:00
8,9.86,9.86,9.86,9.86,1000,2022-05-31 14:20:00
9,9.86,9.86,9.86,9.86,300,2022-05-31 15:23:00
10,9.88,9.88,9.87,9.87,1300,2022-05-31 18:02:00
11,9.872,9.872,9.872,9.872,100,2022-05-31 18:51:00
12,9.8701,9.8701,9.8701,9.8701,200,2022-06-01 14:04:00
13,9.87,9.87,9.87,9.87,100,2022-06-01 14:23:00
14,9.8789,9.8789,9.8789,9.8789,349,2022-06-01 16:06:00
15,9.87,9.87,9.87,9.87,451,2022-06-01 18:33:00
16,9.87,9.87,9.87,9.87,5200,2022-06-01 19:00:00
17,9.87,9.88,9.87,9.88,545,2022-06-01 19:59:00
18,9.87,9.87,9.87,9.87,100,2022-06-02 13:30:00
19,9.87,9.87,9.87,9.87,3000,2022-06-02 14:52:00
20,9.87,9.8701,9.87,9.8701,1000,2022-06-02 14:58:00
21,9.87,9.87,9.87,9.87,1800,2022-06-02 15:51:00
22,9.88,9.89,9.88,9.89,200,2022-06-02 15:53:00
23,9.875,9.875,9.87,9.87,1000,2022-06-02 18:31:00
24,9.87,9.87,9.87,9.87,410,2022-06-02 19:59:00
25,9.87,9.8785,9.87,9.8785,300,2022-06-03 14:44:00
26,9.875,9.875,9.875,9.875,100,2022-06-03 15:56:00
27,9.87,9.87,9.87,9.87,100,2022-06-03 16:29:00
28,9.89,9.9,9.89,9.9,3478,2022-06-03 18:25:00
29,9.9,9.9,9.9,9.9,948,2022-06-03 18:30:00
30,9.895,9.895,9.895,9.895,109,2022-06-03 18:52:00
31,9.9,9.905,9.9,9.905,5868,2022-06-03 19:57:00
32,9.9,9.9,9.9,9.9,177,2022-06-03 19:59:00
33,9.8812,9.8812,9.8812,9.8812,150,2022-06-06 13:52:00
34,9.8801,9.8801,9.8801,9.8801,100,2022-06-06 14:27:00
35,9.885,9.885,9.885,9.885,100,2022-06-06 14:45:00
36,9.8801,9.8801,9.8801,9.8801,100,2022-06-06 14:56:00
37,9.89,9.89,9.89,9.89,5326,2022-06-06 15:11:00
38,9.89,9.89,9.89,9.89,28820,2022-06-06 15:17:00
39,9.895,9.895,9.895,9.895,120,2022-06-06 15:35:00
40,9.89,9.8922,9.89,9.8922,500,2022-06-06 16:07:00
41,9.89,9.8901,9.89,9.8901,200,2022-06-06 16:38:00
42,9.89,9.89,9.89,9.89,100,2022-06-06 16:59:00
43,9.89,9.89,9.89,9.89,200,2022-06-06 17:22:00
44,9.89,9.89,9.89,9.89,100,2022-06-06 17:37:00
45,9.8801,9.8801,9.88,9.88,200,2022-06-06 17:50:00
46,9.8824,9.8824,9.8824,9.8824,151,2022-06-06 18:10:00
47,9.8825,9.8825,9.8825,9.8825,100,2022-06-06 19:07:00
48,9.88,9.88,9.88,9.88,840,2022-06-06 19:25:00
49,9.88,9.8841,9.88,9.8841,1000,2022-06-06 19:36:00
50,9.8901,9.8901,9.8901,9.8901,1500,2022-06-08 14:06:00
51,9.894,9.894,9.894,9.894,550,2022-06-08 16:58:00
52,9.89,9.8902,9.89,9.8902,300,2022-06-08 17:45:00
53,9.92,9.92,9.92,9.92,1430,2022-06-09 13:31:00
54,9.91,9.91,9.91,9.91,1500,2022-06-09 14:06:00
55,9.88,9.91,9.88,9.91,5100,2022-06-09 14:08:00
56,9.8801,9.8801,9.8801,9.8801,100,2022-06-09 15:14:00
57,9.88,9.88,9.88,9.88,600,2022-06-09 17:14:00
58,9.895,9.895,9.895,9.895,231,2022-06-09 18:23:00
59,9.88,9.88,9.88,9.88,2000,2022-06-09 18:39:00
60,9.9,9.9,9.9,9.9,400,2022-06-09 19:25:00
61,9.9,9.9,9.9,9.9,100,2022-06-09 19:28:00
62,9.9,9.9,9.9,9.9,100,2022-06-09 19:59:00
63,9.88,9.8801,9.88,9.8801,200,2022-06-10 14:19:00
64,9.8801,9.8801,9.8801,9.8801,100,2022-06-10 14:54:00
65,9.88,9.88,9.88,9.88,300,2022-06-10 15:14:00
66,9.88,9.88,9.88,9.88,700,2022-06-10 15:27:00
67,9.88,9.8801,9.88,9.8801,1000,2022-06-10 16:12:00
68,9.88,9.8801,9.88,9.88,1500,2022-06-10 17:31:00
69,9.89,9.89,9.89,9.89,100,2022-06-10 19:06:00
70,9.9,9.9,9.9,9.9,200,2022-06-10 19:38:00
71,9.885,9.885,9.885,9.885,100,2022-06-10 19:45:00
72,9.885,9.885,9.885,9.885,250,2022-06-10 19:46:00
