,open,high,low,close,volume,datetime
0,1.91,1.91,1.9,1.9,1000,2022-05-27 13:34:00
1,1.95,1.95,1.95,1.95,120,2022-05-27 13:51:00
2,1.91,1.91,1.91,1.91,250,2022-05-27 13:54:00
3,1.9435,1.9435,1.9435,1.9435,250,2022-05-27 13:55:00
4,1.9467,1.9467,1.9467,1.9467,250,2022-05-27 13:58:00
5,1.9336,1.9336,1.9336,1.9336,500,2022-05-27 13:59:00
6,1.9224,1.9224,1.9224,1.9224,470,2022-05-27 14:06:00
7,1.9229,1.9229,1.9229,1.9229,250,2022-05-27 14:08:00
8,1.9317,1.9317,1.92,1.92,1100,2022-05-27 14:11:00
9,1.93,1.9301,1.92,1.92,2561,2022-05-27 14:15:00
10,1.935,1.935,1.92,1.92,1100,2022-05-27 14:29:00
11,1.95,1.95,1.92,1.9494,33028,2022-05-27 14:35:00
12,1.955,1.9899,1.955,1.9899,5000,2022-05-27 14:36:00
13,1.93,1.93,1.921,1.921,3700,2022-05-27 14:43:00
14,1.93,1.93,1.92,1.92,650,2022-05-27 14:46:00
15,1.9201,1.95,1.9201,1.95,5000,2022-05-27 14:48:00
16,1.95,1.95,1.95,1.95,5000,2022-05-27 14:52:00
17,1.9725,1.9725,1.9725,1.9725,500,2022-05-27 14:54:00
18,1.92,1.92,1.92,1.92,650,2022-05-27 15:02:00
19,1.91,1.92,1.91,1.9103,876,2022-05-27 15:26:00
20,1.9658,1.9658,1.96,1.9641,570,2022-05-27 15:49:00
21,1.92,1.92,1.91,1.91,799,2022-05-27 16:04:00
22,1.91,1.91,1.91,1.91,125,2022-05-27 16:05:00
23,1.92,1.92,1.9,1.9,637,2022-05-27 16:11:00
24,1.9,1.9,1.9,1.9,100,2022-05-27 16:35:00
25,1.9,1.9,1.9,1.9,200,2022-05-27 17:04:00
26,1.9102,1.9102,1.9102,1.9102,102,2022-05-27 17:12:00
27,1.9497,1.9497,1.9497,1.9497,500,2022-05-27 17:17:00
28,1.925,1.925,1.925,1.925,125,2022-05-27 17:23:00
29,1.925,1.925,1.925,1.925,100,2022-05-27 17:53:00
30,1.91,1.91,1.91,1.91,582,2022-05-27 17:57:00
31,1.9063,1.9063,1.9063,1.9063,500,2022-05-27 17:58:00
32,1.9456,1.9456,1.9456,1.9456,500,2022-05-27 17:59:00
33,1.9486,1.9486,1.9486,1.9486,500,2022-05-27 18:00:00
34,1.9063,1.9063,1.9063,1.9063,500,2022-05-27 18:01:00
35,1.9,1.9,1.9,1.9,2692,2022-05-27 18:05:00
36,1.9391,1.9391,1.9391,1.9391,500,2022-05-27 18:12:00
37,1.9,1.9,1.89,1.89,250,2022-05-27 18:14:00
38,1.88,1.88,1.88,1.88,500,2022-05-27 18:17:00
39,1.9,1.9,1.9,1.9,150,2022-05-27 18:19:00
40,1.88,1.88,1.88,1.88,350,2022-05-27 18:27:00
41,1.88,1.88,1.8737,1.8737,778,2022-05-27 18:56:00
42,1.88,1.88,1.88,1.88,100,2022-05-27 18:59:00
43,1.89,1.89,1.89,1.89,100,2022-05-27 19:01:00
44,1.88,1.88,1.88,1.88,1700,2022-05-27 19:10:00
45,1.89,1.89,1.89,1.89,100,2022-05-27 19:23:00
46,1.885,1.89,1.88,1.88,2700,2022-05-27 19:32:00
47,1.89,1.89,1.89,1.89,440,2022-05-27 19:33:00
48,1.8807,1.8807,1.8807,1.8807,100,2022-05-27 19:38:00
49,1.8845,1.8845,1.8845,1.8845,225,2022-05-27 19:47:00
50,1.89,1.89,1.88,1.88,200,2022-05-27 19:50:00
51,1.89,1.89,1.89,1.89,100,2022-05-27 19:59:00
52,1.92,1.92,1.92,1.92,4221,2022-05-31 13:30:00
53,1.92,1.92,1.92,1.92,100,2022-05-31 13:44:00
54,1.9099,1.9099,1.9099,1.9099,500,2022-05-31 14:15:00
55,1.9,1.9,1.89,1.89,2600,2022-05-31 14:22:00
56,1.9099,1.91,1.9099,1.91,700,2022-05-31 14:33:00
57,1.9199,1.92,1.91,1.9199,1700,2022-05-31 14:35:00
58,1.9479,1.9479,1.9479,1.9479,100,2022-05-31 14:51:00
59,1.95,1.95,1.94,1.94,799,2022-05-31 15:01:00
60,1.9999,1.9999,1.9999,1.9999,250,2022-05-31 15:12:00
61,1.97,1.985,1.97,1.985,500,2022-05-31 15:13:00
62,1.97,1.97,1.97,1.97,274,2022-05-31 15:14:00
63,1.99,1.99,1.99,1.99,125,2022-05-31 15:22:00
64,1.975,1.975,1.975,1.975,250,2022-05-31 15:23:00
65,1.975,1.975,1.975,1.975,100,2022-05-31 15:25:00
66,1.975,1.975,1.95,1.95,600,2022-05-31 15:37:00
67,1.9987,1.9999,1.9826,1.9826,490,2022-05-31 15:47:00
68,1.9999,1.9999,1.9999,1.9999,101,2022-05-31 15:48:00
69,1.99,1.99,1.99,1.99,100,2022-05-31 15:50:00
70,2.0,2.0,2.0,2.0,1250,2022-05-31 15:54:00
71,2.035,2.035,2.035,2.035,1900,2022-05-31 15:57:00
72,2.0507,2.0507,2.0507,2.0507,1990,2022-05-31 15:59:00
73,2.025,2.025,2.025,2.025,100,2022-05-31 16:05:00
74,2.02,2.02,2.0199,2.0199,200,2022-05-31 16:10:00
75,2.0324,2.0324,2.0324,2.0324,500,2022-05-31 16:15:00
76,2.045,2.045,2.03,2.03,452,2022-05-31 16:18:00
77,2.03,2.03,2.03,2.03,100,2022-05-31 16:21:00
78,2.0311,2.0311,2.0311,2.0311,490,2022-05-31 16:22:00
79,2.05,2.05,2.05,2.05,100,2022-05-31 16:27:00
80,2.0573,2.06,2.0573,2.06,400,2022-05-31 16:29:00
81,2.059,2.07,2.04,2.04,11931,2022-05-31 16:30:00
82,2.0667,2.0667,2.05,2.05,600,2022-05-31 16:35:00
83,2.1,2.15,2.1,2.15,1200,2022-05-31 16:36:00
84,2.16,2.2,2.12,2.199,3311,2022-05-31 16:38:00
85,2.15,2.15,2.15,2.15,100,2022-05-31 16:39:00
86,2.17,2.17,2.17,2.17,100,2022-05-31 16:40:00
87,2.165,2.165,2.165,2.165,2100,2022-05-31 16:41:00
88,2.17,2.18,2.17,2.1745,3218,2022-05-31 16:42:00
89,2.1771,2.1792,2.17,2.17,1800,2022-05-31 16:43:00
90,2.1701,2.178,2.17,2.17,1581,2022-05-31 16:44:00
91,2.18,2.18,2.06,2.13,4747,2022-05-31 16:45:00
92,2.0748,2.0748,2.07,2.07,200,2022-05-31 16:46:00
93,2.105,2.105,2.09,2.09,600,2022-05-31 16:48:00
94,2.1408,2.1408,2.1408,2.1408,1500,2022-05-31 16:53:00
95,2.155,2.155,2.13,2.13,463,2022-05-31 16:56:00
96,2.1347,2.1347,2.1347,2.1347,472,2022-05-31 16:59:00
97,2.1586,2.1586,2.155,2.155,800,2022-05-31 17:06:00
98,2.18,2.18,2.18,2.18,500,2022-05-31 17:08:00
99,2.16,2.16,2.16,2.16,256,2022-05-31 17:12:00
100,2.15,2.15,2.15,2.15,100,2022-05-31 17:21:00
101,2.13,2.1302,2.13,2.1302,1239,2022-05-31 17:27:00
102,2.0801,2.0801,2.0801,2.0801,150,2022-05-31 17:48:00
103,2.08,2.08,2.08,2.08,100,2022-05-31 18:00:00
104,2.095,2.095,2.095,2.095,100,2022-05-31 18:01:00
105,2.1,2.1,2.1,2.1,100,2022-05-31 18:13:00
106,2.08,2.08,2.08,2.08,1369,2022-05-31 18:22:00
107,2.1,2.1,2.1,2.1,186,2022-05-31 18:32:00
108,2.07,2.07,2.07,2.07,340,2022-05-31 18:33:00
109,2.1599,2.1599,2.1599,2.1599,100,2022-05-31 18:34:00
110,2.06,2.0603,2.03,2.03,1982,2022-05-31 18:50:00
111,2.02,2.02,2.02,2.02,1500,2022-05-31 18:51:00
112,2.0156,2.03,2.01,2.01,1600,2022-05-31 19:09:00
113,2.0101,2.0101,2.0101,2.0101,2100,2022-05-31 19:21:00
114,2.045,2.08,2.045,2.08,350,2022-05-31 19:30:00
115,2.0101,2.0101,2.0101,2.0101,250,2022-05-31 19:32:00
116,2.01,2.01,2.01,2.01,100,2022-05-31 19:46:00
117,2.0359,2.0359,2.0359,2.0359,300,2022-05-31 19:52:00
118,2.06,2.0694,2.06,2.0694,900,2022-05-31 19:53:00
