,open,high,low,close,volume,datetime
0,237.06,238.27,236.54,237.44,23211,2022-05-27 13:30:00
1,237.42,237.8311,237.38,237.8311,2668,2022-05-27 13:31:00
2,237.89,237.97,237.72,237.85,1609,2022-05-27 13:32:00
3,237.91,238.025,237.91,237.98,2041,2022-05-27 13:33:00
4,237.82,238.26,237.77,238.04,1100,2022-05-27 13:34:00
5,237.93,237.96,237.45,237.46,1100,2022-05-27 13:35:00
6,237.75,237.75,237.6402,237.6402,200,2022-05-27 13:36:00
7,237.13,237.13,237.01,237.01,400,2022-05-27 13:37:00
8,237.22,237.22,237.085,237.085,200,2022-05-27 13:38:00
9,237.51,237.7,237.51,237.59,600,2022-05-27 13:40:00
10,237.4,237.4,237.2,237.205,1300,2022-05-27 13:41:00
11,237.38,237.38,237.04,237.105,1300,2022-05-27 13:42:00
12,237.46,237.46,237.34,237.395,400,2022-05-27 13:44:00
13,237.86,237.97,237.605,237.605,400,2022-05-27 13:45:00
14,237.29,237.31,236.94,237.14,2236,2022-05-27 13:46:00
15,237.18,237.21,236.78,237.21,3167,2022-05-27 13:47:00
16,237.34,237.37,237.34,237.37,300,2022-05-27 13:48:00
17,237.28,237.28,237.28,237.28,505,2022-05-27 13:49:00
18,237.01,237.05,236.92,237.04,1000,2022-05-27 13:50:00
19,237.04,237.04,236.4,236.4,1967,2022-05-27 13:51:00
20,236.86,237.01,236.86,237.01,362,2022-05-27 13:52:00
21,237.01,237.045,236.81,237.045,6852,2022-05-27 13:53:00
22,237.22,237.7,237.22,237.7,3800,2022-05-27 13:54:00
23,237.62,237.74,237.46,237.74,755,2022-05-27 13:55:00
24,237.95,237.95,237.78,237.835,1000,2022-05-27 13:56:00
25,237.54,237.67,237.531,237.565,8446,2022-05-27 13:57:00
26,237.5003,237.59,237.35,237.35,6380,2022-05-27 13:58:00
27,237.235,237.3,237.235,237.3,1100,2022-05-27 13:59:00
28,237.19,237.34,237.19,237.34,305,2022-05-27 14:00:00
29,237.56,237.855,237.56,237.825,1300,2022-05-27 14:01:00
30,237.86,237.885,237.86,237.885,200,2022-05-27 14:02:00
31,237.82,238.09,237.82,237.975,901,2022-05-27 14:03:00
32,238.08,238.12,238.08,238.12,300,2022-05-27 14:04:00
33,237.96,237.96,237.5,237.5,646,2022-05-27 14:05:00
34,237.69,237.71,237.69,237.69,500,2022-05-27 14:06:00
35,237.74,237.78,237.65,237.75,1500,2022-05-27 14:07:00
36,237.61,237.62,237.45,237.495,1681,2022-05-27 14:08:00
37,237.485,237.55,237.37,237.37,1053,2022-05-27 14:09:00
38,237.37,237.43,236.87,236.98,1511,2022-05-27 14:10:00
39,237.03,237.19,237.0,237.13,1604,2022-05-27 14:11:00
40,237.17,237.23,237.12,237.15,927,2022-05-27 14:12:00
41,237.11,237.11,237.11,237.11,100,2022-05-27 14:13:00
42,237.165,237.365,237.165,237.365,470,2022-05-27 14:14:00
43,237.18,237.18,236.97,237.05,810,2022-05-27 14:15:00
44,237.02,237.08,236.98,236.98,1300,2022-05-27 14:16:00
45,236.91,237.15,236.91,237.12,903,2022-05-27 14:17:00
46,237.07,237.07,236.87,237.06,1770,2022-05-27 14:18:00
47,237.01,237.1373,236.96,237.08,1306,2022-05-27 14:19:00
48,237.185,237.36,237.185,237.34,1128,2022-05-27 14:20:00
49,237.36,237.54,237.36,237.54,700,2022-05-27 14:21:00
50,237.82,238.16,237.76,238.16,326,2022-05-27 14:22:00
51,238.145,238.27,238.11,238.27,390,2022-05-27 14:23:00
52,238.165,238.165,237.87,237.87,1091,2022-05-27 14:24:00
53,237.81,237.85,237.51,237.765,3140,2022-05-27 14:25:00
54,237.58,237.67,237.58,237.62,300,2022-05-27 14:26:00
55,237.58,237.67,237.465,237.55,1500,2022-05-27 14:27:00
56,237.63,238.2,237.63,238.2,1334,2022-05-27 14:28:00
57,238.05,238.05,237.72,237.72,502,2022-05-27 14:29:00
58,237.78,237.94,237.78,237.94,300,2022-05-27 14:30:00
59,238.1869,238.29,238.1869,238.225,1100,2022-05-27 14:31:00
60,238.25,238.57,238.25,238.51,2145,2022-05-27 14:32:00
61,238.43,238.52,238.38,238.47,2329,2022-05-27 14:33:00
62,238.3,238.3,238.08,238.08,701,2022-05-27 14:34:00
63,238.06,238.095,238.0,238.0,1400,2022-05-27 14:35:00
64,237.92,237.945,237.835,237.835,600,2022-05-27 14:36:00
65,237.79,237.81,237.645,237.8,1700,2022-05-27 14:37:00
66,237.85,237.96,237.85,237.855,1210,2022-05-27 14:38:00
67,237.85,237.97,237.825,237.97,703,2022-05-27 14:39:00
68,237.84,237.84,237.49,237.49,1819,2022-05-27 14:40:00
69,237.53,237.62,237.42,237.62,918,2022-05-27 14:41:00
70,237.555,237.61,237.46,237.46,300,2022-05-27 14:42:00
71,237.27,237.34,237.16,237.26,1085,2022-05-27 14:43:00
72,237.17,237.17,237.17,237.17,100,2022-05-27 14:44:00
73,237.14,237.14,236.8601,236.8601,1774,2022-05-27 14:45:00
74,237.01,237.16,236.95,237.01,2779,2022-05-27 14:46:00
75,237.09,237.41,237.035,237.35,2318,2022-05-27 14:47:00
76,237.31,237.42,237.26,237.375,1401,2022-05-27 14:48:00
77,237.305,237.44,237.2,237.4,6966,2022-05-27 14:49:00
78,237.39,237.555,237.39,237.53,3000,2022-05-27 14:50:00
79,237.51,237.69,237.44,237.69,926,2022-05-27 14:51:00
80,237.78,237.815,237.75,237.75,1000,2022-05-27 14:52:00
81,237.59,237.69,237.535,237.67,1983,2022-05-27 14:53:00
82,237.56,237.56,237.42,237.42,694,2022-05-27 14:54:00
83,237.33,237.41,237.12,237.2,2700,2022-05-27 14:55:00
84,237.22,237.37,237.22,237.29,500,2022-05-27 14:56:00
85,237.36,237.36,237.36,237.36,100,2022-05-27 14:57:00
86,237.1,237.1,237.1,237.1,100,2022-05-27 14:58:00
87,237.04,237.0696,236.97,237.0696,1592,2022-05-27 14:59:00
88,237.05,237.06,236.92,236.92,800,2022-05-27 15:00:00
89,236.85,236.875,236.76,236.785,1679,2022-05-27 15:01:00
90,236.725,236.82,236.725,236.82,600,2022-05-27 15:02:00
91,236.92,237.08,236.92,236.955,502,2022-05-27 15:03:00
92,236.96,236.98,236.87,236.89,869,2022-05-27 15:04:00
93,236.79,236.9,236.76,236.9,602,2022-05-27 15:05:00
94,236.95,236.95,236.95,236.95,165,2022-05-27 15:06:00
95,236.9,236.9,236.76,236.76,450,2022-05-27 15:07:00
96,236.79,236.98,236.78,236.935,900,2022-05-27 15:08:00
97,236.875,236.97,236.85,236.97,1002,2022-05-27 15:09:00
98,236.9,236.91,236.86,236.86,500,2022-05-27 15:10:00
99,236.94,237.06,236.94,237.06,331,2022-05-27 15:11:00
100,236.94,237.06,236.94,236.975,300,2022-05-27 15:12:00
101,236.94,237.01,236.94,237.0,1000,2022-05-27 15:13:00
102,236.97,236.97,236.97,236.97,200,2022-05-27 15:14:00
103,237.03,237.03,237.03,237.03,100,2022-05-27 15:15:00
104,237.19,237.2,237.19,237.2,349,2022-05-27 15:16:00
105,237.18,237.19,237.01,237.02,2000,2022-05-27 15:17:00
106,237.03,237.08,237.02,237.08,300,2022-05-27 15:18:00
107,237.1,237.1,237.04,237.1,500,2022-05-27 15:19:00
108,237.09,237.09,237.06,237.06,409,2022-05-27 15:20:00
109,237.05,237.05,237.02,237.02,200,2022-05-27 15:21:00
110,237.09,237.14,237.09,237.09,700,2022-05-27 15:22:00
111,236.995,237.01,236.995,237.0,300,2022-05-27 15:23:00
112,237.005,237.005,237.005,237.005,100,2022-05-27 15:24:00
113,237.0385,237.0385,236.84,236.84,3055,2022-05-27 15:25:00
114,236.92,237.04,236.92,237.04,600,2022-05-27 15:26:00
115,237.2788,237.2788,237.19,237.19,822,2022-05-27 15:28:00
116,237.17,237.17,237.17,237.17,300,2022-05-27 15:29:00
117,237.11,237.2971,237.07,237.2971,1702,2022-05-27 15:30:00
118,237.1,237.1,237.09,237.09,202,2022-05-27 15:31:00
119,237.135,237.135,237.135,237.135,100,2022-05-27 15:32:00
120,237.18,237.35,237.18,237.35,528,2022-05-27 15:33:00
121,237.31,237.33,237.3,237.33,400,2022-05-27 15:34:00
122,237.41,237.46,237.33,237.33,410,2022-05-27 15:35:00
123,237.38,237.38,237.21,237.33,900,2022-05-27 15:36:00
124,237.33,237.39,237.3,237.39,300,2022-05-27 15:37:00
125,237.4,237.4937,237.29,237.4,553,2022-05-27 15:38:00
126,237.41,237.41,237.28,237.28,500,2022-05-27 15:39:00
