,open,high,low,close,volume,datetime
0,23.325,23.325,23.325,23.325,200,2022-05-27 14:11:00
1,23.3025,23.3025,23.3025,23.3025,200,2022-05-27 14:12:00
2,23.4973,23.55,23.4973,23.55,2500,2022-05-27 14:23:00
3,23.31,23.31,23.31,23.31,200,2022-05-27 14:47:00
4,23.35,23.35,23.35,23.35,100,2022-05-27 14:56:00
5,23.38,23.385,23.38,23.38,1000,2022-05-27 16:18:00
6,23.38,23.38,23.38,23.38,600,2022-05-27 16:42:00
7,23.33,23.33,23.32,23.33,999,2022-05-27 16:47:00
8,23.3829,23.3829,23.37,23.37,1100,2022-05-27 17:06:00
9,23.375,23.375,23.34,23.35,989,2022-05-27 17:07:00
10,23.35,23.4,23.35,23.4,800,2022-05-27 17:21:00
11,24.0,24.0,24.0,24.0,400,2022-05-27 17:28:00
12,23.31,23.37,23.1,23.37,2150,2022-05-27 17:31:00
13,22.9141,22.9141,22.9141,22.9141,100,2022-05-27 17:41:00
14,23.13,23.13,23.13,23.13,660,2022-05-27 17:52:00
15,23.2,23.2,23.2,23.2,1000,2022-05-27 18:23:00
16,23.55,23.55,23.55,23.55,1000,2022-05-27 18:25:00
17,23.13,23.13,23.13,23.13,800,2022-05-27 18:27:00
18,23.13,23.13,23.13,23.13,700,2022-05-27 18:32:00
19,23.13,23.13,23.13,23.13,100,2022-05-27 18:33:00
20,23.15,23.17,23.13,23.13,1350,2022-05-27 18:37:00
21,23.13,23.17,23.13,23.13,2600,2022-05-27 18:38:00
22,22.92,22.94,22.92,22.94,200,2022-05-27 18:43:00
23,23.01,23.01,23.0,23.0,480,2022-05-27 18:44:00
24,23.02,23.02,23.018,23.018,200,2022-05-27 18:48:00
25,23.02,23.02,23.0,23.0,368,2022-05-27 18:50:00
26,23.275,23.275,23.275,23.275,200,2022-05-27 19:00:00
27,23.275,23.275,23.275,23.275,500,2022-05-27 19:25:00
28,23.5093,23.5093,23.5093,23.5093,1000,2022-05-27 19:51:00
29,23.165,23.165,23.01,23.01,680,2022-05-27 19:53:00
30,23.37,23.37,22.95,22.95,766,2022-05-31 13:30:00
31,23.29,23.29,23.29,23.29,625,2022-05-31 13:31:00
32,23.2724,23.2724,23.2724,23.2724,200,2022-05-31 13:36:00
33,22.45,22.45,22.45,22.45,100,2022-05-31 15:48:00
34,22.64,22.64,22.64,22.64,100,2022-05-31 16:00:00
35,22.52,22.52,22.52,22.52,100,2022-05-31 16:21:00
