,open,high,low,close,volume,datetime
0,14.83,14.83,14.8,14.83,3268,2022-05-27 13:30:00
1,14.85,14.87,14.85,14.865,1239,2022-05-27 13:31:00
2,14.875,14.875,14.865,14.865,556,2022-05-27 13:32:00
3,14.875,14.875,14.865,14.865,300,2022-05-27 13:33:00
4,14.852,14.86,14.85,14.86,1145,2022-05-27 13:34:00
5,14.88,14.89,14.88,14.89,300,2022-05-27 13:35:00
6,14.87,14.88,14.87,14.88,752,2022-05-27 13:36:00
7,14.86,14.86,14.86,14.86,499,2022-05-27 13:37:00
8,14.8601,14.8601,14.8601,14.8601,500,2022-05-27 13:38:00
9,14.865,14.87,14.86,14.87,800,2022-05-27 13:41:00
10,14.875,14.885,14.87,14.885,700,2022-05-27 13:42:00
11,14.89,14.92,14.89,14.91,1814,2022-05-27 13:43:00
12,14.9,14.905,14.9,14.905,2614,2022-05-27 13:45:00
13,14.92,14.925,14.92,14.925,5335,2022-05-27 13:48:00
14,14.91,14.91,14.9,14.9,200,2022-05-27 13:50:00
15,14.89,14.89,14.89,14.89,256,2022-05-27 13:52:00
16,14.9,14.9,14.88,14.88,1793,2022-05-27 13:53:00
17,14.87,14.87,14.87,14.87,551,2022-05-27 13:54:00
18,14.8701,14.88,14.8701,14.88,360,2022-05-27 13:55:00
19,14.87,14.87,14.86,14.86,3948,2022-05-27 13:57:00
20,14.83,14.83,14.83,14.83,100,2022-05-27 14:00:00
21,14.8,14.81,14.8,14.81,273,2022-05-27 14:03:00
22,14.81,14.81,14.81,14.81,517,2022-05-27 14:04:00
23,14.82,14.82,14.81,14.81,300,2022-05-27 14:05:00
24,14.8,14.8,14.8,14.8,344,2022-05-27 14:06:00
25,14.78,14.8,14.78,14.785,1440,2022-05-27 14:08:00
26,14.78,14.81,14.77,14.81,4048,2022-05-27 14:09:00
27,14.82,14.83,14.82,14.82,2400,2022-05-27 14:10:00
28,14.79,14.79,14.79,14.79,100,2022-05-27 14:13:00
29,14.79,14.79,14.79,14.79,300,2022-05-27 14:14:00
30,14.77,14.77,14.77,14.77,300,2022-05-27 14:15:00
31,14.7791,14.7791,14.7791,14.7791,181,2022-05-27 14:16:00
32,14.77,14.77,14.77,14.77,454,2022-05-27 14:18:00
33,14.75,14.75,14.75,14.75,200,2022-05-27 14:20:00
34,14.76,14.76,14.76,14.76,441,2022-05-27 14:22:00
35,14.76,14.765,14.76,14.765,300,2022-05-27 14:23:00
36,14.77,14.77,14.76,14.77,600,2022-05-27 14:25:00
37,14.76,14.77,14.76,14.77,300,2022-05-27 14:27:00
38,14.76,14.76,14.76,14.76,100,2022-05-27 14:29:00
39,14.77,14.7798,14.77,14.7798,532,2022-05-27 14:30:00
40,14.77,14.77,14.77,14.77,100,2022-05-27 14:31:00
41,14.77,14.77,14.77,14.77,200,2022-05-27 14:32:00
42,14.78,14.78,14.78,14.78,200,2022-05-27 14:33:00
43,14.77,14.77,14.77,14.77,500,2022-05-27 14:36:00
44,14.765,14.765,14.75,14.75,200,2022-05-27 14:38:00
45,14.76,14.77,14.75,14.75,1200,2022-05-27 14:39:00
46,14.76,14.76,14.76,14.76,100,2022-05-27 14:40:00
47,14.76,14.76,14.76,14.76,400,2022-05-27 14:43:00
48,14.76,14.77,14.76,14.76,900,2022-05-27 14:46:00
49,14.76,14.76,14.76,14.76,200,2022-05-27 14:47:00
50,14.76,14.7677,14.76,14.7677,300,2022-05-27 14:48:00
51,14.77,14.77,14.77,14.77,400,2022-05-27 14:50:00
52,14.77,14.77,14.77,14.77,200,2022-05-27 14:51:00
53,14.765,14.765,14.765,14.765,100,2022-05-27 14:56:00
54,14.76,14.76,14.755,14.755,500,2022-05-27 14:58:00
55,14.76,14.76,14.76,14.76,100,2022-05-27 15:00:00
56,14.765,14.765,14.765,14.765,200,2022-05-27 15:02:00
57,14.77,14.77,14.77,14.77,200,2022-05-27 15:04:00
58,14.8,14.81,14.8,14.81,1560,2022-05-27 15:06:00
59,14.8,14.81,14.8,14.81,600,2022-05-27 15:07:00
60,14.81,14.81,14.8,14.8,2211,2022-05-27 15:08:00
61,14.805,14.805,14.805,14.805,101,2022-05-27 15:10:00
62,14.81,14.815,14.81,14.815,200,2022-05-27 15:12:00
63,14.81,14.81,14.81,14.81,100,2022-05-27 15:14:00
64,14.82,14.82,14.82,14.82,100,2022-05-27 15:16:00
65,14.815,14.815,14.815,14.815,100,2022-05-27 15:17:00
66,14.8,14.81,14.8,14.81,300,2022-05-27 15:21:00
67,14.8,14.8,14.8,14.8,500,2022-05-27 15:23:00
68,14.8,14.8,14.8,14.8,300,2022-05-27 15:25:00
69,14.81,14.817,14.81,14.817,200,2022-05-27 15:26:00
70,14.844,14.849,14.84,14.849,300,2022-05-27 15:29:00
71,14.845,14.845,14.84,14.84,200,2022-05-27 15:30:00
72,14.8473,14.8473,14.8473,14.8473,200,2022-05-27 15:32:00
73,14.85,14.86,14.85,14.86,200,2022-05-27 15:33:00
74,14.855,14.855,14.83,14.83,700,2022-05-27 15:36:00
75,14.835,14.84,14.835,14.84,300,2022-05-27 15:38:00
76,14.85,14.85,14.85,14.85,200,2022-05-27 15:40:00
77,14.845,14.845,14.83,14.83,1100,2022-05-27 15:42:00
78,14.83,14.84,14.83,14.84,6600,2022-05-27 15:43:00
79,14.845,14.845,14.845,14.845,100,2022-05-27 15:47:00
80,14.845,14.845,14.845,14.845,100,2022-05-27 15:49:00
81,14.8482,14.8482,14.8482,14.8482,100,2022-05-27 15:53:00
82,14.85,14.85,14.85,14.85,200,2022-05-27 15:54:00
83,14.859,14.859,14.859,14.859,100,2022-05-27 15:56:00
84,14.855,14.86,14.855,14.86,300,2022-05-27 15:58:00
85,14.86,14.86,14.86,14.86,100,2022-05-27 15:59:00
86,14.855,14.855,14.855,14.855,800,2022-05-27 16:00:00
87,14.86,14.86,14.86,14.86,100,2022-05-27 16:01:00
88,14.855,14.855,14.855,14.855,100,2022-05-27 16:04:00
89,14.86,14.86,14.855,14.855,400,2022-05-27 16:05:00
90,14.86,14.86,14.86,14.86,100,2022-05-27 16:06:00
91,14.865,14.865,14.865,14.865,200,2022-05-27 16:07:00
92,14.865,14.865,14.865,14.865,1049,2022-05-27 16:08:00
93,14.86,14.86,14.86,14.86,100,2022-05-27 16:09:00
94,14.8853,14.8853,14.8853,14.8853,200,2022-05-27 16:14:00
95,14.885,14.885,14.885,14.885,100,2022-05-27 16:15:00
96,14.88,14.88,14.875,14.875,791,2022-05-27 16:16:00
97,14.87,14.87,14.86,14.86,936,2022-05-27 16:17:00
98,14.865,14.87,14.865,14.87,700,2022-05-27 16:20:00
99,14.87,14.87,14.87,14.87,100,2022-05-27 16:21:00
100,14.875,14.875,14.87,14.87,400,2022-05-27 16:22:00
101,14.865,14.865,14.865,14.865,100,2022-05-27 16:23:00
102,14.865,14.865,14.865,14.865,100,2022-05-27 16:26:00
103,14.865,14.865,14.865,14.865,100,2022-05-27 16:27:00
104,14.865,14.865,14.865,14.865,200,2022-05-27 16:28:00
105,14.865,14.865,14.865,14.865,300,2022-05-27 16:31:00
106,14.87,14.87,14.87,14.87,301,2022-05-27 16:32:00
107,14.87,14.87,14.87,14.87,300,2022-05-27 16:33:00
108,14.8608,14.8608,14.8608,14.8608,413,2022-05-27 16:34:00
109,14.86,14.86,14.84,14.84,624,2022-05-27 16:35:00
110,14.83,14.83,14.83,14.83,100,2022-05-27 16:36:00
111,14.83,14.83,14.83,14.83,100,2022-05-27 16:37:00
112,14.84,14.84,14.84,14.84,400,2022-05-27 16:41:00
113,14.835,14.8399,14.835,14.8399,600,2022-05-27 16:42:00
114,14.835,14.8395,14.835,14.8395,350,2022-05-27 16:43:00
115,14.835,14.8392,14.835,14.835,800,2022-05-27 16:44:00
116,14.84,14.84,14.84,14.84,300,2022-05-27 16:45:00
117,14.835,14.84,14.835,14.84,300,2022-05-27 16:46:00
118,14.8381,14.8381,14.8381,14.8381,155,2022-05-27 16:47:00
119,14.835,14.835,14.835,14.835,200,2022-05-27 16:48:00
120,14.83,14.83,14.83,14.83,600,2022-05-27 16:49:00
121,14.83,14.83,14.825,14.825,200,2022-05-27 16:50:00
122,14.83,14.83,14.825,14.83,300,2022-05-27 16:52:00
123,14.84,14.84,14.84,14.84,300,2022-05-27 16:54:00
124,14.84,14.84,14.84,14.84,100,2022-05-27 16:55:00
125,14.83,14.835,14.83,14.835,300,2022-05-27 16:56:00
126,14.84,14.84,14.84,14.84,300,2022-05-27 16:57:00
127,14.8425,14.8425,14.8425,14.8425,100,2022-05-27 16:59:00
128,14.845,14.845,14.845,14.845,100,2022-05-27 17:00:00
129,14.84,14.84,14.84,14.84,300,2022-05-27 17:01:00
130,14.84,14.84,14.83,14.83,200,2022-05-27 17:02:00
131,14.845,14.8499,14.845,14.8499,434,2022-05-27 17:06:00
132,14.84,14.84,14.84,14.84,100,2022-05-27 17:07:00
133,14.85,14.86,14.85,14.86,600,2022-05-27 17:08:00
134,14.87,14.87,14.865,14.865,300,2022-05-27 17:10:00
135,14.87,14.87,14.865,14.865,200,2022-05-27 17:11:00
136,14.88,14.89,14.88,14.89,701,2022-05-27 17:14:00
137,14.89,14.89,14.89,14.89,800,2022-05-27 17:16:00
138,14.88,14.88,14.88,14.88,100,2022-05-27 17:18:00
139,14.88,14.89,14.88,14.89,700,2022-05-27 17:20:00
140,14.885,14.885,14.885,14.885,700,2022-05-27 17:24:00
