,open,high,low,close,volume,datetime
0,9.905,9.905,9.905,9.905,182695,2022-05-27 14:10:00
1,9.9001,9.9001,9.9,9.9,8280,2022-05-27 14:52:00
2,9.9,9.9,9.9,9.9,5000,2022-05-27 14:53:00
3,9.9,9.9,9.9,9.9,5000,2022-05-27 14:54:00
4,9.9,9.901,9.9,9.901,10000,2022-05-27 14:55:00
5,9.9,9.9,9.9,9.9,10000,2022-05-27 15:03:00
6,9.92,9.92,9.92,9.92,49526,2022-05-27 16:22:00
7,9.9,9.9,9.9,9.9,1075,2022-05-31 15:25:00
8,9.9,9.9001,9.9,9.9001,8000,2022-05-31 18:23:00
9,9.92,9.92,9.92,9.92,345,2022-06-01 16:02:00
10,9.9,9.9,9.9,9.9,3675,2022-06-01 17:31:00
11,9.91,9.91,9.91,9.91,2400,2022-06-03 14:50:00
12,9.93,9.93,9.93,9.93,150,2022-06-06 13:30:00
13,9.92,9.92,9.92,9.92,200,2022-06-06 13:59:00
14,9.92,9.92,9.92,9.92,1100,2022-06-06 14:27:00
15,9.92,9.92,9.92,9.92,161,2022-06-07 13:30:00
16,9.91,9.91,9.91,9.91,100,2022-06-07 18:52:00
17,9.92,9.92,9.92,9.92,30886,2022-06-09 14:08:00
18,9.925,9.925,9.925,9.925,2379,2022-06-09 15:15:00
19,9.92,9.92,9.92,9.92,152,2022-06-10 13:30:00
