,open,high,low,close,volume,datetime
0,65.07,65.4275,65.01,65.4275,5242,2022-05-27 13:30:00
1,66.56,66.88,66.56,66.88,926,2022-05-27 13:32:00
2,66.88,66.88,66.27,66.47,1053,2022-05-27 13:34:00
3,66.0752,66.0752,66.0752,66.0752,109,2022-05-27 13:35:00
4,66.45,66.79,65.45,66.57,47035,2022-05-27 13:36:00
5,66.46,66.91,66.46,66.91,3642,2022-05-27 13:37:00
6,66.72,66.72,66.72,66.72,100,2022-05-27 13:38:00
7,66.69,66.73,66.69,66.73,300,2022-05-27 13:39:00
8,67.14,67.51,67.14,67.34,600,2022-05-27 13:40:00
9,67.42,67.43,67.11,67.14,621,2022-05-27 13:41:00
10,67.11,67.12,66.91,67.11,2834,2022-05-27 13:42:00
11,67.06,67.18,66.97,67.11,800,2022-05-27 13:43:00
12,66.99,66.99,66.48,66.48,500,2022-05-27 13:44:00
13,66.475,66.81,66.475,66.81,1000,2022-05-27 13:45:00
14,66.69,66.69,66.52,66.52,200,2022-05-27 13:46:00
15,66.54,66.63,66.54,66.63,300,2022-05-27 13:47:00
16,66.53,66.53,66.405,66.53,300,2022-05-27 13:48:00
17,66.455,66.7,65.92,65.92,2000,2022-05-27 13:49:00
18,65.91,66.3,65.91,66.3,503,2022-05-27 13:50:00
19,66.1,66.11,66.04,66.11,600,2022-05-27 13:51:00
20,66.12,66.15,66.12,66.15,300,2022-05-27 13:53:00
21,66.41,66.41,66.08,66.14,5000,2022-05-27 13:54:00
22,66.06,66.265,66.06,66.265,787,2022-05-27 13:55:00
23,66.38,66.54,66.37,66.46,1600,2022-05-27 13:56:00
24,66.35,66.455,66.24,66.455,1000,2022-05-27 13:57:00
25,66.56,66.56,66.56,66.56,100,2022-05-27 13:59:00
26,66.545,66.65,66.47,66.58,2600,2022-05-27 14:00:00
27,66.64,66.76,66.615,66.6298,2100,2022-05-27 14:01:00
28,66.72,66.72,66.48,66.48,500,2022-05-27 14:02:00
29,66.68,66.68,66.65,66.67,300,2022-05-27 14:03:00
30,66.5,66.5,66.5,66.5,100,2022-05-27 14:04:00
31,66.565,66.76,66.565,66.76,500,2022-05-27 14:05:00
32,66.76,66.76,66.76,66.76,100,2022-05-27 14:06:00
33,66.71,66.71,66.71,66.71,100,2022-05-27 14:07:00
34,66.64,66.69,66.61,66.69,500,2022-05-27 14:08:00
35,66.72,66.72,66.7,66.72,400,2022-05-27 14:09:00
36,66.73,66.73,66.54,66.54,1200,2022-05-27 14:10:00
37,66.58,66.68,66.58,66.68,200,2022-05-27 14:11:00
38,66.63,66.64,66.5,66.5,500,2022-05-27 14:12:00
39,66.43,66.58,66.43,66.58,600,2022-05-27 14:13:00
40,66.665,66.74,66.665,66.74,200,2022-05-27 14:14:00
41,66.67,66.67,66.67,66.67,296,2022-05-27 14:15:00
42,66.59,66.62,66.54,66.62,500,2022-05-27 14:17:00
43,66.64,66.645,66.64,66.645,200,2022-05-27 14:18:00
44,66.64,66.64,66.64,66.64,100,2022-05-27 14:19:00
45,66.64,66.64,66.64,66.64,100,2022-05-27 14:20:00
46,66.645,66.645,66.645,66.645,100,2022-05-27 14:21:00
47,66.645,66.645,66.645,66.645,100,2022-05-27 14:22:00
48,66.645,66.81,66.645,66.81,400,2022-05-27 14:23:00
49,66.785,66.785,66.785,66.785,100,2022-05-27 14:25:00
50,66.7,66.89,66.7,66.86,900,2022-05-27 14:26:00
51,67.01,67.13,67.0,67.11,802,2022-05-27 14:29:00
52,67.285,67.345,67.285,67.345,200,2022-05-27 14:30:00
53,67.5277,67.58,67.52,67.58,925,2022-05-27 14:32:00
54,67.47,67.47,67.34,67.34,500,2022-05-27 14:33:00
55,67.295,67.34,67.295,67.34,200,2022-05-27 14:34:00
56,67.46,67.46,67.46,67.46,100,2022-05-27 14:35:00
57,67.56,67.62,67.53,67.53,806,2022-05-27 14:36:00
58,67.49,67.49,67.42,67.42,700,2022-05-27 14:38:00
59,67.41,67.59,67.41,67.59,300,2022-05-27 14:39:00
60,67.5,67.7,67.5,67.69,23853,2022-05-27 14:40:00
61,67.65,67.76,67.65,67.7,1141,2022-05-27 14:41:00
62,67.675,67.675,67.675,67.675,100,2022-05-27 14:42:00
63,67.62,67.62,67.41,67.41,559,2022-05-27 14:44:00
64,67.25,67.25,67.25,67.25,100,2022-05-27 14:46:00
65,67.12,67.12,67.06,67.08,300,2022-05-27 14:47:00
66,67.09,67.09,66.91,66.91,1000,2022-05-27 14:48:00
67,66.92,66.92,66.92,66.92,100,2022-05-27 14:51:00
68,66.871,66.871,66.73,66.73,400,2022-05-27 14:52:00
69,66.87,67.07,66.87,67.07,405,2022-05-27 14:53:00
70,67.065,67.14,67.065,67.08,400,2022-05-27 14:54:00
71,67.0,67.0,66.97,66.97,500,2022-05-27 14:55:00
72,66.91,66.91,66.82,66.82,1100,2022-05-27 14:56:00
73,66.81,66.9,66.81,66.85,500,2022-05-27 14:57:00
74,66.74,66.74,66.74,66.74,100,2022-05-27 14:58:00
75,66.73,66.73,66.73,66.73,200,2022-05-27 14:59:00
76,66.73,66.8,66.73,66.8,400,2022-05-27 15:00:00
77,66.59,66.59,66.5,66.5,400,2022-05-27 15:01:00
78,66.57,66.57,66.435,66.51,1114,2022-05-27 15:02:00
79,66.47,66.65,66.47,66.65,700,2022-05-27 15:03:00
80,66.65,66.79,66.6475,66.72,400,2022-05-27 15:04:00
81,66.61,66.61,66.6,66.6,200,2022-05-27 15:05:00
82,66.679,66.679,66.679,66.679,100,2022-05-27 15:06:00
83,66.74,66.91,66.74,66.91,717,2022-05-27 15:07:00
84,66.74,66.92,66.74,66.875,800,2022-05-27 15:09:00
85,67.0,67.16,67.0,67.16,1485,2022-05-27 15:10:00
86,67.23,67.23,67.23,67.23,100,2022-05-27 15:11:00
87,67.31,67.31,67.31,67.31,100,2022-05-27 15:12:00
88,67.43,67.62,67.43,67.62,604,2022-05-27 15:14:00
89,67.5,67.5,67.37,67.37,1200,2022-05-27 15:15:00
