,open,high,low,close,volume,datetime
0,47.95,48.56,47.83,48.07,10032,2022-05-27 13:30:00
1,48.11,48.66,48.11,48.65,8895,2022-05-27 13:31:00
2,48.56,48.75,47.99,47.99,2550,2022-05-27 13:32:00
3,47.99,48.1625,47.53,48.1625,3503,2022-05-27 13:33:00
4,47.935,47.98,47.52,47.745,1926,2022-05-27 13:34:00
5,47.48,47.84,47.48,47.84,1100,2022-05-27 13:35:00
6,47.97,48.23,47.66,47.66,2100,2022-05-27 13:36:00
7,47.84,48.05,47.75,47.83,2606,2022-05-27 13:37:00
8,48.09,48.19,47.83,47.83,917,2022-05-27 13:38:00
9,47.83,48.0,47.59,48.0,4853,2022-05-27 13:39:00
10,47.85,48.31,47.85,48.19,1651,2022-05-27 13:40:00
11,48.19,48.5,48.19,48.5,1224,2022-05-27 13:41:00
12,48.33,48.42,48.03,48.15,3395,2022-05-27 13:42:00
13,48.15,48.37,48.13,48.13,1375,2022-05-27 13:43:00
14,48.12,48.19,47.89,47.91,1331,2022-05-27 13:44:00
15,47.855,48.215,47.77,47.97,3149,2022-05-27 13:45:00
16,48.02,48.25,47.84,47.84,4754,2022-05-27 13:46:00
17,48.01,48.14,47.93,47.94,2737,2022-05-27 13:47:00
18,48.02,48.4,48.02,48.316,2410,2022-05-27 13:48:00
19,48.49,48.49,48.03,48.03,1300,2022-05-27 13:49:00
20,47.97,48.14,47.97,48.1331,1686,2022-05-27 13:50:00
21,48.06,48.08,48.06,48.07,506,2022-05-27 13:51:00
22,47.95,47.965,47.78,47.84,1559,2022-05-27 13:52:00
23,47.855,47.98,47.855,47.9,4097,2022-05-27 13:53:00
24,47.85,48.19,47.85,48.19,2339,2022-05-27 13:54:00
25,48.19,48.435,48.125,48.435,960,2022-05-27 13:55:00
26,48.7,48.79,48.65,48.65,805,2022-05-27 13:56:00
27,48.68,48.88,48.635,48.88,1880,2022-05-27 13:57:00
28,48.98,48.99,48.82,48.83,1200,2022-05-27 13:58:00
29,48.97,49.055,48.97,49.05,1498,2022-05-27 13:59:00
30,48.99,48.99,48.77,48.77,1900,2022-05-27 14:00:00
31,48.875,48.99,48.875,48.88,1815,2022-05-27 14:01:00
32,48.895,49.115,48.77,49.115,2673,2022-05-27 14:02:00
33,49.15,49.15,49.12,49.12,400,2022-05-27 14:03:00
34,48.97,48.9925,48.89,48.93,1100,2022-05-27 14:04:00
35,48.86,48.99,48.83,48.99,2213,2022-05-27 14:05:00
36,49.11,49.375,49.11,49.3,1711,2022-05-27 14:06:00
37,49.33,49.33,49.08,49.135,1300,2022-05-27 14:07:00
38,49.11,49.12,48.95,48.95,2027,2022-05-27 14:08:00
39,49.005,49.12,49.0,49.09,1100,2022-05-27 14:09:00
40,49.13,49.19,49.12,49.13,1278,2022-05-27 14:10:00
41,49.17,49.3,49.17,49.27,600,2022-05-27 14:11:00
42,49.29,49.29,49.13,49.13,1000,2022-05-27 14:12:00
43,49.065,49.17,49.065,49.115,1100,2022-05-27 14:13:00
44,49.12,49.35,49.12,49.35,1048,2022-05-27 14:14:00
45,49.2,49.5,49.2,49.5,3504,2022-05-27 14:15:00
46,49.51,49.51,49.37,49.375,1746,2022-05-27 14:16:00
47,49.37,49.41,49.37,49.41,1000,2022-05-27 14:17:00
48,49.395,49.395,49.3,49.365,801,2022-05-27 14:18:00
49,49.3761,49.51,49.3761,49.46,1667,2022-05-27 14:19:00
50,49.53,49.66,49.53,49.66,1025,2022-05-27 14:20:00
51,49.65,49.75,49.64,49.69,2800,2022-05-27 14:21:00
52,49.73,49.82,49.73,49.74,1518,2022-05-27 14:22:00
53,49.73,49.92,49.73,49.92,1510,2022-05-27 14:23:00
