,open,high,low,close,volume,datetime
0,33.84,33.84,33.84,33.84,1622,2022-05-27 13:30:00
1,33.89,34.02,33.89,34.02,300,2022-05-27 13:36:00
2,33.81,33.86,33.79,33.86,800,2022-05-27 13:37:00
3,33.9,33.9845,33.9,33.9845,396,2022-05-27 13:39:00
4,33.87,33.91,33.86,33.91,1100,2022-05-27 13:41:00
5,33.87,33.87,33.87,33.87,100,2022-05-27 13:42:00
6,33.94,33.97,33.94,33.97,200,2022-05-27 13:43:00
7,34.02,34.02,34.02,34.02,100,2022-05-27 13:44:00
8,34.02,34.02,34.02,34.02,100,2022-05-27 13:48:00
9,34.015,34.015,34.015,34.015,100,2022-05-27 13:49:00
10,34.04,34.135,34.04,34.135,355,2022-05-27 13:53:00
11,34.22,34.22,34.22,34.22,141,2022-05-27 13:55:00
12,34.15,34.15,34.15,34.15,100,2022-05-27 13:56:00
13,34.09,34.098,34.0575,34.06,1000,2022-05-27 13:57:00
14,34.075,34.075,34.075,34.075,100,2022-05-27 13:59:00
15,33.99,33.99,33.99,33.99,200,2022-05-27 14:01:00
16,33.98,33.98,33.98,33.98,100,2022-05-27 14:02:00
17,33.92,33.96,33.92,33.96,548,2022-05-27 14:04:00
18,33.96,33.96,33.96,33.96,100,2022-05-27 14:06:00
19,33.95,33.95,33.94,33.94,570,2022-05-27 14:07:00
20,33.99,34.0,33.99,34.0,700,2022-05-27 14:08:00
21,34.0,34.0,34.0,34.0,200,2022-05-27 14:09:00
22,33.99,33.99,33.99,33.99,100,2022-05-27 14:10:00
23,33.98,33.98,33.975,33.975,200,2022-05-27 14:11:00
24,33.9842,33.9842,33.9842,33.9842,243,2022-05-27 14:15:00
25,33.99,33.99,33.99,33.99,100,2022-05-27 14:16:00
26,33.95,33.95,33.95,33.95,100,2022-05-27 14:17:00
27,34.0,34.0,34.0,34.0,100,2022-05-27 14:19:00
28,33.98,33.98,33.98,33.98,100,2022-05-27 14:23:00
29,33.95,33.95,33.91,33.91,700,2022-05-27 14:25:00
30,33.88,33.88,33.88,33.88,100,2022-05-27 14:26:00
31,33.93,33.95,33.93,33.95,700,2022-05-27 14:29:00
