,open,high,low,close,volume,datetime
0,0.51,0.51,0.51,0.51,100,2022-05-27 11:04:00
1,0.5001,0.517,0.5,0.517,576,2022-05-27 12:04:00
2,0.5239,0.524,0.5239,0.524,682,2022-05-27 12:17:00
3,0.5308,0.5308,0.5308,0.5308,200,2022-05-27 12:21:00
4,0.5308,0.5308,0.5308,0.5308,100,2022-05-27 12:45:00
5,0.54,0.54,0.54,0.54,2000,2022-05-27 12:51:00
6,0.54,0.54,0.54,0.54,1000,2022-05-27 12:55:00
7,0.54,0.54,0.54,0.54,100,2022-05-27 12:58:00
8,0.54,0.54,0.54,0.54,100,2022-05-27 13:05:00
9,0.53,0.54,0.524,0.54,4979,2022-05-27 13:30:00
10,0.531099,0.531099,0.5244,0.5244,1100,2022-05-27 13:31:00
11,0.5243,0.5244,0.524201,0.5244,3471,2022-05-27 13:32:00
12,0.5312,0.537899,0.5312,0.537899,420,2022-05-27 13:33:00
13,0.537899,0.537899,0.52,0.52,1865,2022-05-27 13:34:00
14,0.528051,0.528051,0.528051,0.528051,1000,2022-05-27 13:35:00
15,0.528051,0.528051,0.5201,0.5201,6892,2022-05-27 13:36:00
16,0.525,0.5401,0.5201,0.5266,50493,2022-05-27 13:37:00
17,0.54,0.54,0.5266,0.5269,1300,2022-05-27 13:38:00
18,0.54,0.54,0.54,0.54,320,2022-05-27 13:39:00
19,0.5267,0.5302,0.5267,0.53,12550,2022-05-27 13:40:00
20,0.5378,0.5378,0.5301,0.5301,600,2022-05-27 13:41:00
21,0.5302,0.5302,0.5269,0.53,3411,2022-05-27 13:42:00
22,0.5299,0.5299,0.5299,0.5299,225,2022-05-27 13:44:00
23,0.521061,0.521061,0.521061,0.521061,250,2022-05-27 13:45:00
24,0.529,0.529,0.529,0.529,461,2022-05-27 13:48:00
25,0.5251,0.5251,0.5251,0.5251,719,2022-05-27 13:50:00
26,0.527,0.527,0.5088,0.51,47277,2022-05-27 13:51:00
27,0.51,0.51505,0.51,0.51505,5500,2022-05-27 13:52:00
28,0.510001,0.510001,0.510001,0.510001,2214,2022-05-27 13:53:00
29,0.515,0.515,0.51,0.5101,2442,2022-05-27 13:54:00
30,0.52,0.52,0.52,0.52,100,2022-05-27 13:59:00
31,0.5201,0.5201,0.5201,0.5201,122,2022-05-27 14:01:00
32,0.5201,0.5201,0.52,0.52,2372,2022-05-27 14:02:00
33,0.5201,0.5201,0.5201,0.5201,1200,2022-05-27 14:03:00
34,0.5201,0.5201,0.5201,0.5201,3321,2022-05-27 14:04:00
35,0.5201,0.5201,0.52,0.5201,7919,2022-05-27 14:05:00
36,0.5201,0.5201,0.52,0.5201,2800,2022-05-27 14:06:00
37,0.5201,0.5282,0.5201,0.5242,10300,2022-05-27 14:07:00
38,0.5283,0.5283,0.5283,0.5283,978,2022-05-27 14:09:00
39,0.5256,0.5256,0.5256,0.5256,600,2022-05-27 14:10:00
40,0.528199,0.528199,0.528199,0.528199,100,2022-05-27 14:11:00
41,0.5283,0.5283,0.5283,0.5283,1000,2022-05-27 14:14:00
42,0.528199,0.528199,0.52815,0.52815,1100,2022-05-27 14:15:00
43,0.52815,0.52815,0.52815,0.52815,1043,2022-05-27 14:16:00
44,0.528,0.528,0.528,0.528,100,2022-05-27 14:17:00
45,0.5281,0.5281,0.528,0.5281,824,2022-05-27 14:21:00
46,0.528,0.528001,0.528,0.528,1850,2022-05-27 14:22:00
47,0.528,0.52805,0.528,0.528,1000,2022-05-27 14:28:00
48,0.528,0.5281,0.528,0.5281,500,2022-05-27 14:29:00
49,0.5281,0.5281,0.528,0.528,200,2022-05-27 14:30:00
50,0.52805,0.5281,0.528,0.5281,1670,2022-05-27 14:31:00
51,0.528,0.5281,0.528,0.528023,500,2022-05-27 14:32:00
52,0.528,0.5281,0.528,0.5281,800,2022-05-27 14:33:00
53,0.528,0.528,0.528,0.528,200,2022-05-27 14:37:00
54,0.5281,0.5281,0.5281,0.5281,345,2022-05-27 14:38:00
55,0.529,0.529,0.528,0.528,6300,2022-05-27 14:43:00
56,0.5202,0.5202,0.5202,0.5202,300,2022-05-27 14:44:00
57,0.521961,0.521961,0.5202,0.5202,2200,2022-05-27 14:45:00
58,0.5202,0.529,0.5202,0.521961,3692,2022-05-27 14:46:00
59,0.528,0.528,0.5202,0.5202,12329,2022-05-27 14:54:00
60,0.521,0.525521,0.521,0.525521,700,2022-05-27 14:57:00
61,0.5279,0.5279,0.5279,0.5279,475,2022-05-27 15:02:00
62,0.5202,0.5202,0.5201,0.5201,20913,2022-05-27 15:07:00
63,0.5202,0.5202,0.5202,0.5202,100,2022-05-27 15:09:00
64,0.5202,0.5202,0.5202,0.5202,4600,2022-05-27 15:12:00
65,0.5202,0.5202,0.5201,0.5202,10676,2022-05-27 15:14:00
66,0.5201,0.5201,0.5201,0.5201,200,2022-05-27 15:16:00
67,0.5201,0.5202,0.51,0.5111,77952,2022-05-27 15:19:00
68,0.5102,0.5102,0.5101,0.5101,3119,2022-05-27 15:20:00
69,0.5101,0.5101,0.51,0.5101,1700,2022-05-27 15:21:00
70,0.519899,0.52,0.5197,0.52,5400,2022-05-27 15:23:00
71,0.5201,0.5201,0.5201,0.5201,1000,2022-05-27 15:31:00
72,0.52,0.52,0.52,0.52,1000,2022-05-27 15:33:00
73,0.52,0.52,0.5109,0.5109,10546,2022-05-27 15:37:00
74,0.5106,0.5106,0.5106,0.5106,1000,2022-05-27 15:43:00
75,0.511,0.511,0.511,0.511,200,2022-05-27 15:44:00
76,0.522,0.522,0.5218,0.522,1437,2022-05-27 15:52:00
77,0.5249,0.5249,0.5247,0.5249,9600,2022-05-27 15:58:00
78,0.5213,0.5213,0.52,0.52,4051,2022-05-27 16:07:00
79,0.513201,0.5213,0.5131,0.5213,3386,2022-05-27 16:08:00
80,0.5213,0.5213,0.518218,0.518218,2900,2022-05-27 16:10:00
81,0.517,0.517,0.517,0.517,192,2022-05-27 16:15:00
82,0.517,0.517,0.517,0.517,310,2022-05-27 16:16:00
83,0.516899,0.516899,0.516899,0.516899,100,2022-05-27 16:18:00
84,0.514101,0.514101,0.514101,0.514101,100,2022-05-27 16:20:00
85,0.5169,0.5169,0.5169,0.5169,100,2022-05-27 16:21:00
86,0.5169,0.5169,0.5169,0.5169,175,2022-05-27 16:23:00
87,0.5169,0.5169,0.5169,0.5169,100,2022-05-27 16:26:00
88,0.5141,0.5141,0.514,0.514,1488,2022-05-27 16:31:00
89,0.514,0.514,0.514,0.514,100,2022-05-27 16:36:00
90,0.514,0.514,0.513998,0.513998,5000,2022-05-27 16:37:00
91,0.514,0.514,0.514,0.514,100,2022-05-27 16:39:00
92,0.514,0.514,0.514,0.514,351,2022-05-27 16:41:00
93,0.514,0.514,0.5139,0.5139,5729,2022-05-27 16:42:00
94,0.5139,0.5154,0.5125,0.5154,7550,2022-05-27 16:43:00
95,0.5168,0.5168,0.5168,0.5168,100,2022-05-27 16:44:00
96,0.51401,0.51401,0.51401,0.51401,636,2022-05-27 16:46:00
97,0.5169,0.5169,0.514,0.514,9901,2022-05-27 16:48:00
98,0.514,0.5143,0.514,0.5143,298,2022-05-27 16:49:00
99,0.5141,0.5141,0.5141,0.5141,300,2022-05-27 16:50:00
100,0.514,0.5141,0.514,0.5141,1380,2022-05-27 16:52:00
101,0.5141,0.5141,0.514,0.514,681,2022-05-27 16:57:00
102,0.5141,0.5141,0.5141,0.5141,100,2022-05-27 17:00:00
103,0.514099,0.5141,0.514,0.514098,1850,2022-05-27 17:16:00
104,0.5141,0.5141,0.514086,0.514086,2240,2022-05-27 17:17:00
105,0.514,0.5141,0.514,0.5141,6200,2022-05-27 17:21:00
106,0.5141,0.5141,0.514,0.514,5960,2022-05-27 17:23:00
107,0.5141,0.5141,0.5141,0.5141,200,2022-05-27 17:25:00
108,0.514549,0.515,0.514549,0.5149,3744,2022-05-27 17:26:00
109,0.514499,0.515,0.514499,0.515,1200,2022-05-27 17:27:00
110,0.5145,0.51545,0.514,0.51545,8500,2022-05-27 17:33:00
111,0.5169,0.5169,0.5169,0.5169,100,2022-05-27 17:36:00
112,0.5154,0.5169,0.5154,0.5169,600,2022-05-27 17:38:00
113,0.516799,0.516799,0.5155,0.5155,1100,2022-05-27 17:43:00
114,0.5169,0.5169,0.5169,0.5169,200,2022-05-27 17:44:00
115,0.5169,0.5169,0.5169,0.5169,192,2022-05-27 17:47:00
116,0.5165,0.5165,0.5165,0.5165,100,2022-05-27 17:54:00
117,0.5165,0.5165,0.5165,0.5165,3000,2022-05-27 17:55:00
118,0.5166,0.5169,0.5166,0.5169,5980,2022-05-27 17:59:00
119,0.5165,0.5165,0.5165,0.5165,100,2022-05-27 18:00:00
120,0.5165,0.5165,0.5165,0.5165,10891,2022-05-27 18:03:00
121,0.5166,0.5166,0.5166,0.5166,100,2022-05-27 18:09:00
122,0.5165,0.5166,0.5165,0.5165,10000,2022-05-27 18:10:00
123,0.5165,0.51652,0.5165,0.5165,775,2022-05-27 18:14:00
124,0.5165,0.5165,0.5165,0.5165,585,2022-05-27 18:19:00
125,0.5169,0.5169,0.5169,0.5169,1890,2022-05-27 18:20:00
126,0.5169,0.5169,0.5169,0.5169,370,2022-05-27 18:21:00
127,0.5169,0.516901,0.5169,0.5169,6450,2022-05-27 18:25:00
128,0.517,0.517,0.5169,0.5169,250,2022-05-27 18:27:00
129,0.5169,0.5169,0.5169,0.5169,100,2022-05-27 18:28:00
130,0.517,0.517,0.5169,0.517,6512,2022-05-27 18:29:00
131,0.5167,0.5167,0.5167,0.5167,100,2022-05-27 18:30:00
132,0.5167,0.5167,0.5167,0.5167,200,2022-05-27 18:31:00
133,0.5167,0.5167,0.5165,0.5166,1100,2022-05-27 18:32:00
134,0.5167,0.5167,0.5166,0.5166,2421,2022-05-27 18:33:00
135,0.5166,0.517,0.5165,0.517,3801,2022-05-27 18:34:00
136,0.517,0.52,0.517,0.52,3440,2022-05-27 18:35:00
137,0.5273,0.5288,0.5273,0.5285,2400,2022-05-27 18:36:00
138,0.5285,0.5285,0.517608,0.527,2200,2022-05-27 18:37:00
139,0.527,0.527,0.527,0.527,500,2022-05-27 18:38:00
140,0.5256,0.5256,0.52,0.52,700,2022-05-27 18:40:00
141,0.5213,0.5213,0.5191,0.5191,1203,2022-05-27 18:41:00
142,0.51795,0.51795,0.51795,0.51795,100,2022-05-27 18:44:00
143,0.527,0.527,0.5216,0.5216,600,2022-05-27 18:45:00
144,0.5228,0.5228,0.5228,0.5228,1200,2022-05-27 18:46:00
145,0.5264,0.5264,0.5234,0.5234,700,2022-05-27 18:48:00
146,0.5234,0.5262,0.5234,0.5234,800,2022-05-27 18:49:00
147,0.5195,0.5195,0.5127,0.515,7915,2022-05-27 18:50:00
148,0.5188,0.519,0.5188,0.519,300,2022-05-27 18:51:00
149,0.5176,0.5176,0.5175,0.5175,500,2022-05-27 18:52:00
150,0.51435,0.5179,0.51435,0.5179,448,2022-05-27 18:55:00
151,0.5183,0.5183,0.5183,0.5183,100,2022-05-27 18:56:00
152,0.5139,0.5139,0.5139,0.5139,100,2022-05-27 18:59:00
153,0.5129,0.5136,0.51,0.5136,4191,2022-05-27 19:00:00
154,0.5114,0.512,0.5114,0.5115,1200,2022-05-27 19:01:00
155,0.5115,0.5131,0.511,0.5115,4000,2022-05-27 19:02:00
156,0.5115,0.5131,0.5107,0.5131,4900,2022-05-27 19:03:00
157,0.5125,0.514,0.5115,0.514,1900,2022-05-27 19:04:00
158,0.5142,0.518899,0.5142,0.518899,1900,2022-05-27 19:05:00
159,0.5193,0.5245,0.5193,0.5245,4900,2022-05-27 19:06:00
160,0.526,0.526,0.525899,0.525899,600,2022-05-27 19:07:00
161,0.5221,0.5222,0.522,0.522,4501,2022-05-27 19:08:00
162,0.5221,0.5221,0.522,0.522,1900,2022-05-27 19:09:00
163,0.522,0.522,0.52,0.52,900,2022-05-27 19:10:00
164,0.525899,0.525899,0.522,0.522,3079,2022-05-27 19:11:00
165,0.522,0.522,0.522,0.522,140,2022-05-27 19:12:00
166,0.519499,0.519499,0.519499,0.519499,1000,2022-05-27 19:13:00
167,0.5259,0.5259,0.5259,0.5259,3578,2022-05-27 19:14:00
168,0.5259,0.5259,0.5133,0.5133,1244,2022-05-27 19:16:00
169,0.5258,0.5258,0.5258,0.5258,100,2022-05-27 19:28:00
170,0.5229,0.5229,0.5229,0.5229,101,2022-05-27 19:35:00
171,0.525,0.525,0.525,0.525,2222,2022-05-27 19:36:00
172,0.525,0.525,0.525,0.525,500,2022-05-27 19:38:00
173,0.5279,0.5279,0.5279,0.5279,2500,2022-05-27 19:40:00
174,0.528,0.528,0.528,0.528,100,2022-05-27 19:41:00
175,0.528,0.528,0.528,0.528,2022,2022-05-27 19:42:00
176,0.528,0.528,0.527999,0.527999,6600,2022-05-27 19:43:00
177,0.527999,0.527999,0.527999,0.527999,3000,2022-05-27 19:45:00
178,0.528,0.528,0.5279,0.5279,2200,2022-05-27 19:46:00
179,0.5243,0.5243,0.5243,0.5243,600,2022-05-27 19:48:00
180,0.525,0.527899,0.5229,0.5229,11695,2022-05-27 19:49:00
181,0.5277,0.5279,0.5277,0.5279,2000,2022-05-27 19:50:00
182,0.5279,0.528,0.5254,0.5279,10080,2022-05-27 19:51:00
183,0.528,0.53,0.528,0.53,3913,2022-05-27 19:52:00
184,0.5299,0.5368,0.5299,0.5368,4756,2022-05-27 19:53:00
185,0.5475,0.5475,0.5475,0.5475,100,2022-05-27 19:54:00
186,0.5488,0.5489,0.5477,0.5482,3400,2022-05-27 19:55:00
187,0.544,0.544,0.544,0.544,910,2022-05-27 19:57:00
188,0.542,0.542,0.5359,0.54,15700,2022-05-27 19:58:00
189,0.54,0.54,0.54,0.54,2231,2022-05-27 20:00:00
190,0.533,0.533,0.533,0.533,100,2022-05-27 20:02:00
191,0.5202,0.5202,0.5202,0.5202,2500,2022-05-27 20:06:00
192,0.5201,0.5201,0.5201,0.5201,192,2022-05-27 20:39:00
193,0.53,0.53,0.53,0.53,650,2022-05-27 20:58:00
194,0.53,0.53,0.53,0.53,150,2022-05-27 21:14:00
195,0.5206,0.5206,0.5201,0.5201,1000,2022-05-27 21:17:00
196,0.521,0.521,0.5201,0.5201,508,2022-05-27 21:18:00
197,0.5201,0.5201,0.5201,0.5201,335,2022-05-27 21:27:00
198,0.529,0.53,0.529,0.53,400,2022-05-27 21:46:00
199,0.53,0.53,0.53,0.53,400,2022-05-27 22:00:00
200,0.53,0.53,0.53,0.53,500,2022-05-27 22:10:00
201,0.53,0.53,0.53,0.53,800,2022-05-27 22:20:00
202,0.53,0.53,0.53,0.53,100,2022-05-27 22:40:00
