,open,high,low,close,volume,datetime
0,9.77,9.77,9.77,9.77,100,2022-05-27 13:31:00
1,9.785,9.785,9.785,9.785,168531,2022-05-27 14:10:00
2,9.8,9.81,9.8,9.8,6284,2022-05-31 15:24:00
3,9.785,9.785,9.76,9.77,3205,2022-05-31 16:14:00
4,9.77,9.77,9.77,9.77,1692,2022-05-31 16:17:00
5,9.78,9.78,9.78,9.78,1152,2022-05-31 16:19:00
6,9.81,9.81,9.81,9.81,1500,2022-05-31 19:55:00
7,9.81,9.81,9.81,9.81,3030,2022-06-01 16:08:00
8,9.8,9.8,9.8,9.8,400,2022-06-01 17:03:00
9,9.7801,9.7801,9.7801,9.7801,150,2022-06-02 16:55:00
10,9.78,9.78,9.77,9.77,20612,2022-06-02 17:53:00
11,9.78,9.78,9.78,9.78,151509,2022-06-02 18:20:00
12,9.78,9.78,9.78,9.78,1692,2022-06-03 15:12:00
13,9.78,9.78,9.78,9.78,173,2022-06-07 13:30:00
14,9.78,9.78,9.78,9.78,500,2022-06-07 18:17:00
15,9.79,9.79,9.79,9.79,49500,2022-06-08 13:33:00
16,9.81,9.81,9.81,9.81,200,2022-06-08 19:49:00
17,9.81,9.81,9.81,9.81,200,2022-06-08 19:59:00
18,9.79,9.81,9.79,9.81,812,2022-06-09 13:25:00
19,9.8,9.8,9.8,9.8,842,2022-06-09 13:30:00
20,9.805,9.805,9.805,9.805,2252,2022-06-09 15:17:00
21,9.81,9.81,9.81,9.81,600,2022-06-09 16:19:00
22,9.8,9.8,9.8,9.8,600,2022-06-09 18:31:00
23,9.8,9.8,9.8,9.8,6100,2022-06-09 18:32:00
24,9.8,9.8,9.8,9.8,6000,2022-06-09 18:33:00
25,9.8,9.8,9.8,9.8,6100,2022-06-09 18:34:00
26,9.8,9.8,9.8,9.8,6000,2022-06-09 18:35:00
27,9.8,9.8,9.8,9.8,6200,2022-06-09 18:36:00
28,9.8,9.8,9.8,9.8,6000,2022-06-09 18:37:00
29,9.8,9.8,9.8,9.8,6100,2022-06-09 18:38:00
30,9.8,9.8,9.8,9.8,7340,2022-06-09 18:39:00
31,9.8,9.8041,9.8,9.8041,684,2022-06-09 19:34:00
32,9.76,9.77,9.76,9.77,500,2022-06-10 13:17:00
33,9.8,9.81,9.8,9.81,942,2022-06-10 13:25:00
34,9.8,9.81,9.8,9.81,300,2022-06-10 13:27:00
35,9.81,9.81,9.81,9.81,2524,2022-06-10 13:30:00
36,9.81,9.81,9.81,9.81,492,2022-06-10 17:00:00
37,9.82,9.82,9.82,9.82,101,2022-06-10 18:05:00
