,open,high,low,close,volume,datetime
0,10.025,10.025,10.025,10.025,35612,2022-05-31 14:07:00
1,10.01,10.01,10.01,10.01,2614,2022-05-31 17:13:00
2,10.01,10.01,10.01,10.01,4600,2022-05-31 17:14:00
3,10.01,10.01,10.01,10.01,5380,2022-05-31 17:38:00
4,10.01,10.01,10.01,10.01,2600,2022-05-31 18:19:00
5,10.01,10.01,10.01,10.01,791,2022-05-31 18:54:00
6,10.01,10.01,10.01,10.01,8086,2022-06-01 13:44:00
7,10.01,10.01,10.01,10.01,170,2022-06-07 18:48:00
8,10.01,10.01,10.01,10.01,400,2022-06-08 15:18:00
9,10.02,10.02,10.02,10.02,100,2022-06-09 15:10:00
