,open,high,low,close,volume,datetime
0,65.85,65.85,65.77,65.79,26181,2022-05-27 13:30:00
1,65.84,65.84,65.83,65.83,400,2022-05-27 13:31:00
2,65.84,65.84,65.84,65.84,100,2022-05-27 13:34:00
3,65.8233,65.85,65.8233,65.85,1070,2022-05-27 13:35:00
4,65.8244,65.8556,65.8201,65.8483,2264,2022-05-27 13:37:00
5,65.86,65.87,65.8337,65.8337,590,2022-05-27 13:38:00
6,65.85,65.87,65.85,65.87,200,2022-05-27 13:39:00
7,65.86,65.88,65.86,65.88,1281,2022-05-27 13:40:00
8,65.83,65.8556,65.83,65.8556,1336,2022-05-27 13:43:00
9,65.8,65.85,65.8,65.85,400,2022-05-27 13:45:00
10,65.82,65.83,65.82,65.83,626,2022-05-27 13:46:00
11,65.85,65.89,65.85,65.89,582,2022-05-27 13:47:00
12,65.91,65.93,65.91,65.93,200,2022-05-27 13:48:00
13,65.93,65.9592,65.93,65.9592,9832,2022-05-27 13:49:00
14,65.96,66.0,65.96,66.0,588,2022-05-27 13:51:00
15,66.0,66.0,65.9999,65.9999,312,2022-05-27 13:52:00
16,65.985,66.0,65.985,66.0,2777,2022-05-27 13:53:00
17,66.04,66.04,66.04,66.04,100,2022-05-27 13:55:00
18,66.05,66.05,66.05,66.05,324,2022-05-27 13:56:00
19,66.01,66.02,66.01,66.02,600,2022-05-27 13:58:00
20,66.0,66.02,65.994,66.02,1791,2022-05-27 13:59:00
21,65.965,65.98,65.96,65.98,300,2022-05-27 14:01:00
22,65.98,65.99,65.98,65.99,300,2022-05-27 14:02:00
23,65.98,65.98,65.98,65.98,100,2022-05-27 14:03:00
24,65.965,65.9984,65.965,65.9984,484,2022-05-27 14:04:00
25,65.98,65.98,65.97,65.97,300,2022-05-27 14:05:00
26,65.97,65.975,65.97,65.975,1100,2022-05-27 14:07:00
27,65.95,65.95,65.95,65.95,500,2022-05-27 14:08:00
28,65.97,65.98,65.97,65.98,310,2022-05-27 14:10:00
29,66.01,66.01,66.01,66.01,100,2022-05-27 14:11:00
30,65.99,65.99,65.99,65.99,100,2022-05-27 14:12:00
31,65.98,65.98,65.98,65.98,450,2022-05-27 14:13:00
32,65.99,66.0,65.96,65.96,1910,2022-05-27 14:16:00
33,65.97,65.97,65.97,65.97,100,2022-05-27 14:18:00
34,65.9505,65.96,65.9505,65.9598,500,2022-05-27 14:19:00
35,65.9626,65.9626,65.9626,65.9626,100,2022-05-27 14:20:00
36,65.98,65.99,65.98,65.99,300,2022-05-27 14:21:00
37,65.99,65.99,65.99,65.99,452,2022-05-27 14:22:00
38,65.99,65.99,65.94,65.9625,2555,2022-05-27 14:25:00
39,65.97,65.97,65.96,65.96,519,2022-05-27 14:26:00
40,65.97,65.97,65.9699,65.9699,600,2022-05-27 14:27:00
41,65.9513,65.968,65.9513,65.96,512,2022-05-27 14:28:00
42,65.95,65.95,65.95,65.95,200,2022-05-27 14:29:00
43,65.92,65.93,65.92,65.93,700,2022-05-27 14:30:00
44,65.95,65.95,65.95,65.95,616,2022-05-27 14:31:00
45,65.94,65.96,65.94,65.96,1365,2022-05-27 14:33:00
46,65.9302,65.934,65.93,65.934,468,2022-05-27 14:34:00
47,65.935,65.94,65.935,65.94,513,2022-05-27 14:35:00
48,65.959,65.96,65.93,65.93,1921,2022-05-27 14:36:00
49,65.94,65.94,65.94,65.94,100,2022-05-27 14:37:00
50,65.949,65.949,65.949,65.949,238,2022-05-27 14:38:00
51,65.94,65.94,65.92,65.92,1430,2022-05-27 14:39:00
52,65.93,65.93,65.9235,65.9235,226,2022-05-27 14:40:00
53,65.91,65.91,65.905,65.905,450,2022-05-27 14:41:00
54,65.905,65.905,65.905,65.905,100,2022-05-27 14:42:00
55,65.9184,65.9184,65.91,65.91,568,2022-05-27 14:43:00
56,65.92,65.92,65.92,65.92,1100,2022-05-27 14:44:00
57,65.925,65.94,65.925,65.9399,2124,2022-05-27 14:45:00
58,65.92,65.92,65.92,65.92,700,2022-05-27 14:46:00
59,65.9,65.91,65.9,65.91,200,2022-05-27 14:47:00
60,65.92,65.92,65.92,65.92,600,2022-05-27 14:48:00
61,65.939,65.94,65.933,65.94,1444,2022-05-27 14:49:00
62,65.96,65.96,65.95,65.95,600,2022-05-27 14:50:00
63,65.94,65.94,65.93,65.93,500,2022-05-27 14:51:00
64,65.937,65.937,65.913,65.913,235,2022-05-27 14:52:00
65,65.92,65.921,65.92,65.92,2142,2022-05-27 14:53:00
66,65.94,65.94,65.94,65.94,317,2022-05-27 14:54:00
67,65.94,65.94,65.9092,65.9092,701,2022-05-27 14:55:00
68,65.9,65.908,65.8973,65.8973,19109,2022-05-27 14:56:00
69,65.89,65.895,65.865,65.865,1100,2022-05-27 14:58:00
70,65.8606,65.87,65.86,65.86,3645,2022-05-27 14:59:00
71,65.87,65.88,65.85,65.85,2500,2022-05-27 15:00:00
72,65.84,65.84,65.84,65.84,300,2022-05-27 15:01:00
73,65.82,65.82,65.81,65.81,700,2022-05-27 15:02:00
74,65.805,65.82,65.805,65.82,500,2022-05-27 15:03:00
75,65.82,65.84,65.82,65.83,800,2022-05-27 15:04:00
76,65.82,65.83,65.82,65.83,200,2022-05-27 15:05:00
77,65.87,65.87,65.87,65.87,200,2022-05-27 15:07:00
78,65.89,65.89,65.88,65.88,255,2022-05-27 15:08:00
79,65.87,65.87,65.87,65.87,355,2022-05-27 15:09:00
80,65.865,65.87,65.865,65.87,700,2022-05-27 15:10:00
81,65.87,65.8841,65.87,65.8841,750,2022-05-27 15:11:00
82,65.89,65.91,65.89,65.91,200,2022-05-27 15:12:00
83,65.9,65.905,65.9,65.905,300,2022-05-27 15:13:00
84,65.91,65.91,65.91,65.91,361,2022-05-27 15:14:00
85,65.91,65.91,65.91,65.91,100,2022-05-27 15:15:00
86,65.92,65.94,65.92,65.94,200,2022-05-27 15:16:00
87,65.933,65.94,65.93,65.94,774,2022-05-27 15:17:00
88,65.95,65.95,65.93,65.94,400,2022-05-27 15:18:00
89,65.94,65.94,65.93,65.93,200,2022-05-27 15:20:00
90,65.94,65.95,65.94,65.95,300,2022-05-27 15:21:00
91,65.97,65.98,65.96,65.97,1080,2022-05-27 15:22:00
92,65.96,65.97,65.96,65.97,4096,2022-05-27 15:23:00
93,65.9618,65.9618,65.9618,65.9618,216,2022-05-27 15:24:00
94,65.95,65.95,65.95,65.95,200,2022-05-27 15:25:00
95,65.94,65.94,65.94,65.94,500,2022-05-27 15:26:00
96,65.94,65.94,65.94,65.94,1700,2022-05-27 15:28:00
97,65.94,65.96,65.94,65.96,1200,2022-05-27 15:29:00
98,65.99,65.99,65.99,65.99,100,2022-05-27 15:30:00
99,65.97,65.97,65.97,65.97,100,2022-05-27 15:31:00
100,65.982,65.982,65.982,65.982,1635,2022-05-27 15:32:00
101,65.99,66.0,65.98,65.98,6345,2022-05-27 15:33:00
102,65.98,65.98,65.96,65.96,600,2022-05-27 15:34:00
103,65.96,65.98,65.96,65.98,700,2022-05-27 15:35:00
104,65.98,65.9895,65.96,65.97,5885,2022-05-27 15:36:00
105,65.97,65.97,65.95,65.95,44235,2022-05-27 15:37:00
106,65.98,65.98,65.98,65.98,200,2022-05-27 15:39:00
107,65.98,65.98,65.965,65.965,292,2022-05-27 15:40:00
108,65.965,65.97,65.95,65.97,637,2022-05-27 15:41:00
109,65.99,65.99,65.99,65.99,200,2022-05-27 15:42:00
110,65.98,65.99,65.98,65.984,3200,2022-05-27 15:45:00
111,65.97,65.97,65.97,65.97,100,2022-05-27 15:46:00
112,65.985,65.985,65.985,65.985,300,2022-05-27 15:47:00
113,65.99,65.99,65.99,65.99,100,2022-05-27 15:48:00
114,66.0,66.0,66.0,66.0,1200,2022-05-27 15:49:00
115,66.01,66.01,65.9935,66.0068,1322,2022-05-27 15:51:00
116,66.0,66.0,66.0,66.0,562,2022-05-27 15:53:00
117,66.0,66.0,66.0,66.0,100,2022-05-27 15:55:00
118,65.99,65.99,65.99,65.99,400,2022-05-27 15:56:00
119,65.99,65.99,65.99,65.99,100,2022-05-27 15:58:00
120,66.01,66.01,65.99,65.99,200,2022-05-27 16:00:00
121,66.01,66.01,66.0035,66.01,500,2022-05-27 16:02:00
122,66.01,66.01,66.01,66.01,600,2022-05-27 16:03:00
123,66.0,66.0,65.99,65.99,200,2022-05-27 16:04:00
124,65.99,65.99,65.985,65.985,863,2022-05-27 16:05:00
125,65.98,65.98,65.98,65.98,100,2022-05-27 16:06:00
126,65.9653,65.9653,65.9653,65.9653,133,2022-05-27 16:07:00
127,65.965,65.97,65.96,65.96,400,2022-05-27 16:08:00
128,65.96,65.97,65.96,65.97,1740,2022-05-27 16:09:00
129,65.9722,65.98,65.9722,65.98,485,2022-05-27 16:10:00
130,65.98,66.0,65.977,66.0,1026,2022-05-27 16:11:00
131,65.99,65.99,65.99,65.99,100,2022-05-27 16:14:00
132,65.9858,65.99,65.98,65.98,2200,2022-05-27 16:15:00
133,65.98,65.98,65.975,65.975,251,2022-05-27 16:16:00
134,65.96,65.96,65.945,65.9474,646,2022-05-27 16:17:00
135,65.945,65.96,65.945,65.96,834,2022-05-27 16:18:00
136,65.95,65.95,65.94,65.9494,1197,2022-05-27 16:19:00
137,65.9583,65.9583,65.955,65.955,2252,2022-05-27 16:20:00
138,65.96,65.96,65.9599,65.9599,228,2022-05-27 16:21:00
139,65.95,65.95,65.95,65.95,100,2022-05-27 16:23:00
140,65.9465,65.9465,65.94,65.94,730,2022-05-27 16:24:00
141,65.95,65.95,65.95,65.95,495,2022-05-27 16:25:00
142,65.96,65.96,65.96,65.96,429,2022-05-27 16:26:00
143,65.96,65.96,65.96,65.96,100,2022-05-27 16:28:00
144,65.96,65.96,65.9484,65.9484,644,2022-05-27 16:29:00
145,65.95,65.97,65.95,65.97,321,2022-05-27 16:30:00
146,65.97,65.97,65.963,65.963,575,2022-05-27 16:31:00
147,65.97,65.98,65.962,65.98,4564,2022-05-27 16:33:00
148,65.963,65.965,65.963,65.965,715,2022-05-27 16:34:00
149,65.96,65.96,65.96,65.96,400,2022-05-27 16:35:00
150,65.94,65.95,65.94,65.95,378,2022-05-27 16:36:00
151,65.97,65.97,65.97,65.97,200,2022-05-27 16:40:00
152,65.97,65.97,65.97,65.97,200,2022-05-27 16:41:00
153,65.96,65.96,65.96,65.96,900,2022-05-27 16:42:00
154,65.95,65.95,65.94,65.94,400,2022-05-27 16:45:00
155,65.9418,65.9418,65.9418,65.9418,358,2022-05-27 16:47:00
156,65.94,65.94,65.94,65.94,150,2022-05-27 16:48:00
157,65.93,65.93,65.93,65.93,200,2022-05-27 16:49:00
158,65.9,65.9,65.9,65.9,100,2022-05-27 16:52:00
159,65.91,65.91,65.91,65.91,100,2022-05-27 16:53:00
