,open,high,low,close,volume,datetime
0,91.86,92.19,91.83,92.07,7866,2022-05-27 13:30:00
1,92.21,92.58,92.21,92.385,1103,2022-05-27 13:31:00
2,92.6,92.73,92.56,92.66,1200,2022-05-27 13:32:00
3,92.39,92.39,92.39,92.39,100,2022-05-27 13:34:00
4,92.26,92.4,92.17,92.4,800,2022-05-27 13:35:00
5,92.31,92.42,92.3,92.35,598,2022-05-27 13:36:00
6,92.445,92.445,92.445,92.445,107,2022-05-27 13:37:00
7,92.36,92.68,92.36,92.68,717,2022-05-27 13:38:00
8,92.68,92.68,92.52,92.56,884,2022-05-27 13:39:00
9,92.67,92.86,92.67,92.78,2895,2022-05-27 13:40:00
10,92.68,92.765,92.66,92.67,500,2022-05-27 13:41:00
11,92.5,92.645,92.47,92.58,661,2022-05-27 13:42:00
12,92.6343,92.6343,92.6343,92.6343,340,2022-05-27 13:43:00
13,92.85,92.85,92.68,92.68,11494,2022-05-27 13:44:00
14,92.85,93.09,92.85,93.03,500,2022-05-27 13:45:00
15,93.12,93.14,93.12,93.14,612,2022-05-27 13:46:00
16,93.23,93.26,93.15,93.215,9056,2022-05-27 13:47:00
17,93.28,93.36,93.27,93.275,2220,2022-05-27 13:48:00
18,93.32,93.37,93.32,93.3201,1056,2022-05-27 13:49:00
19,93.345,93.57,93.345,93.48,1942,2022-05-27 13:50:00
20,93.5,93.57,93.48,93.57,2061,2022-05-27 13:51:00
21,93.56,93.57,93.49,93.495,1611,2022-05-27 13:52:00
22,93.4601,93.67,93.4601,93.67,608,2022-05-27 13:53:00
23,93.66,93.8199,93.64,93.73,11700,2022-05-27 13:54:00
24,93.75,93.755,93.57,93.7,2903,2022-05-27 13:55:00
25,93.81,93.82,93.7,93.78,3295,2022-05-27 13:56:00
26,93.77,93.89,93.57,93.57,9181,2022-05-27 13:57:00
27,93.47,93.47,93.38,93.44,6893,2022-05-27 13:58:00
28,93.56,93.63,93.545,93.56,1728,2022-05-27 13:59:00
29,93.62,93.65,93.55,93.62,2465,2022-05-27 14:00:00
30,93.58,93.77,93.58,93.77,1404,2022-05-27 14:01:00
31,93.73,93.74,93.56,93.605,2150,2022-05-27 14:02:00
32,93.605,93.605,93.44,93.59,2507,2022-05-27 14:03:00
33,93.595,93.62,93.585,93.62,556,2022-05-27 14:04:00
34,93.63,93.63,93.57,93.6,2078,2022-05-27 14:05:00
35,93.6,93.61,93.49,93.57,2175,2022-05-27 14:06:00
36,93.5,93.55,93.47,93.53,6553,2022-05-27 14:07:00
37,93.53,93.6,93.495,93.58,3933,2022-05-27 14:08:00
38,93.57,93.61,93.57,93.57,525,2022-05-27 14:09:00
39,93.53,93.65,93.53,93.65,3436,2022-05-27 14:10:00
40,93.66,93.68,93.61,93.68,2700,2022-05-27 14:11:00
41,93.635,93.66,93.59,93.61,13685,2022-05-27 14:12:00
42,93.61,93.615,93.5,93.5,3099,2022-05-27 14:13:00
43,93.48,93.55,93.48,93.51,2404,2022-05-27 14:14:00
44,93.5,93.56,93.49,93.56,1227,2022-05-27 14:15:00
45,93.59,93.675,93.59,93.64,1352,2022-05-27 14:16:00
46,93.5,93.5,93.42,93.42,600,2022-05-27 14:18:00
47,93.42,93.42,93.42,93.42,100,2022-05-27 14:19:00
48,93.375,93.375,93.37,93.37,200,2022-05-27 14:20:00
49,93.35,93.42,93.35,93.42,10900,2022-05-27 14:21:00
50,93.425,93.53,93.425,93.53,1702,2022-05-27 14:22:00
51,93.57,93.57,93.49,93.49,400,2022-05-27 14:23:00
52,93.5498,93.5498,93.47,93.48,3122,2022-05-27 14:24:00
53,93.455,93.49,93.39,93.44,7330,2022-05-27 14:25:00
54,93.43,93.45,93.38,93.45,1600,2022-05-27 14:26:00
55,93.36,93.44,93.36,93.44,600,2022-05-27 14:27:00
56,93.45,93.47,93.44,93.45,800,2022-05-27 14:28:00
57,93.45,93.53,93.45,93.53,2217,2022-05-27 14:29:00
58,93.52,93.59,93.5,93.58,7163,2022-05-27 14:30:00
59,93.55,93.55,93.52,93.53,1786,2022-05-27 14:31:00
60,93.53,93.555,93.52,93.555,1837,2022-05-27 14:32:00
61,93.53,93.55,93.51,93.52,1820,2022-05-27 14:33:00
62,93.525,93.525,93.49,93.49,339,2022-05-27 14:34:00
63,93.52,93.52,93.46,93.47,1284,2022-05-27 14:35:00
64,93.47,93.49,93.45,93.46,2508,2022-05-27 14:36:00
65,93.455,93.54,93.455,93.54,800,2022-05-27 14:37:00
66,93.5597,93.5597,93.5,93.5,2269,2022-05-27 14:38:00
67,93.5,93.5,93.475,93.475,950,2022-05-27 14:39:00
68,93.47,93.47,93.42,93.46,2822,2022-05-27 14:40:00
69,93.48,93.5,93.45,93.4695,1016,2022-05-27 14:41:00
70,93.48,93.5,93.445,93.445,2400,2022-05-27 14:42:00
71,93.445,93.47,93.43,93.45,1119,2022-05-27 14:43:00
72,93.47,93.5,93.455,93.455,2500,2022-05-27 14:44:00
73,93.47,93.47,93.43,93.45,2418,2022-05-27 14:45:00
74,93.45,93.45,93.32,93.32,3401,2022-05-27 14:46:00
75,93.31,93.31,93.25,93.3,4008,2022-05-27 14:47:00
76,93.335,93.38,93.335,93.37,794,2022-05-27 14:48:00
77,93.34,93.35,93.34,93.345,300,2022-05-27 14:49:00
78,93.3,93.41,93.3,93.41,2101,2022-05-27 14:50:00
79,93.41,93.43,93.41,93.43,1649,2022-05-27 14:51:00
80,93.46,93.48,93.45,93.455,677,2022-05-27 14:52:00
81,93.42,93.42,93.37,93.405,1131,2022-05-27 14:53:00
82,93.46,93.46,93.37,93.41,1053,2022-05-27 14:54:00
83,93.39,93.49,93.39,93.49,2271,2022-05-27 14:55:00
84,93.47,93.47,93.41,93.41,300,2022-05-27 14:56:00
85,93.41,93.45,93.39,93.45,903,2022-05-27 14:57:00
86,93.405,93.43,93.405,93.43,1206,2022-05-27 14:58:00
87,93.48,93.48,93.48,93.48,100,2022-05-27 14:59:00
88,93.44,93.44,93.41,93.41,700,2022-05-27 15:00:00
89,93.401,93.41,93.385,93.4,1245,2022-05-27 15:01:00
90,93.41,93.41,93.4,93.41,1657,2022-05-27 15:02:00
91,93.39,93.395,93.3,93.3,1035,2022-05-27 15:03:00
92,93.34,93.39,93.34,93.35,1797,2022-05-27 15:04:00
93,93.34,93.42,93.34,93.41,2228,2022-05-27 15:05:00
94,93.45,93.45,93.45,93.45,100,2022-05-27 15:06:00
95,93.45,93.48,93.44,93.44,1100,2022-05-27 15:07:00
96,93.37,93.38,93.36,93.38,1192,2022-05-27 15:09:00
97,93.4,93.41,93.35,93.36,709,2022-05-27 15:10:00
98,93.38,93.4,93.38,93.4,300,2022-05-27 15:11:00
99,93.41,93.42,93.41,93.42,200,2022-05-27 15:12:00
100,93.42,93.43,93.41,93.41,300,2022-05-27 15:13:00
101,93.39,93.39,93.39,93.39,100,2022-05-27 15:14:00
102,93.38,93.41,93.38,93.41,1450,2022-05-27 15:15:00
103,93.43,93.44,93.41,93.41,500,2022-05-27 15:16:00
104,93.47,93.52,93.47,93.52,500,2022-05-27 15:17:00
105,93.54,93.545,93.51,93.545,726,2022-05-27 15:18:00
106,93.49,93.51,93.46,93.46,1086,2022-05-27 15:19:00
107,93.4,93.4,93.37,93.3975,400,2022-05-27 15:20:00
108,93.44,93.44,93.425,93.425,200,2022-05-27 15:21:00
109,93.42,93.42,93.42,93.42,100,2022-05-27 15:22:00
110,93.4,93.41,93.3855,93.3855,360,2022-05-27 15:23:00
111,93.41,93.42,93.4,93.42,305,2022-05-27 15:24:00
112,93.41,93.43,93.4,93.4,400,2022-05-27 15:25:00
113,93.44,93.45,93.38,93.38,900,2022-05-27 15:26:00
114,93.4,93.4,93.4,93.4,200,2022-05-27 15:27:00
115,93.43,93.43,93.43,93.43,100,2022-05-27 15:28:00
116,93.4,93.425,93.4,93.425,800,2022-05-27 15:29:00
117,93.42,93.42,93.4,93.4,300,2022-05-27 15:30:00
118,93.4,93.42,93.39,93.4,2110,2022-05-27 15:31:00
119,93.41,93.4179,93.41,93.4179,480,2022-05-27 15:32:00
120,93.405,93.46,93.405,93.46,770,2022-05-27 15:33:00
121,93.44,93.44,93.42,93.42,203,2022-05-27 15:34:00
122,93.41,93.43,93.41,93.4218,1300,2022-05-27 15:35:00
123,93.46,93.46,93.39,93.4,1100,2022-05-27 15:36:00
124,93.4,93.4,93.4,93.4,203,2022-05-27 15:37:00
125,93.5,93.5,93.5,93.5,1000,2022-05-27 15:38:00
126,93.48,93.48,93.42,93.42,700,2022-05-27 15:39:00
127,93.4,93.43,93.4,93.43,300,2022-05-27 15:40:00
128,93.4,93.4,93.4,93.4,300,2022-05-27 15:41:00
129,93.44,93.47,93.44,93.47,400,2022-05-27 15:42:00
130,93.38,93.395,93.38,93.39,400,2022-05-27 15:44:00
131,93.39,93.44,93.39,93.42,500,2022-05-27 15:45:00
132,93.43,93.46,93.43,93.46,400,2022-05-27 15:47:00
133,93.47,93.47,93.42,93.42,1511,2022-05-27 15:48:00
134,93.415,93.445,93.41,93.445,885,2022-05-27 15:49:00
135,93.42,93.42,93.42,93.42,500,2022-05-27 15:50:00
136,93.41,93.435,93.41,93.435,900,2022-05-27 15:53:00
137,93.42,93.42,93.4,93.42,300,2022-05-27 15:54:00
138,93.42,93.47,93.39,93.47,7897,2022-05-27 15:55:00
139,93.44,93.44,93.42,93.42,414,2022-05-27 15:56:00
140,93.42,93.45,93.39,93.425,6131,2022-05-27 15:57:00
141,93.415,93.415,93.3,93.36,5915,2022-05-27 15:58:00
142,93.355,93.37,93.33,93.355,700,2022-05-27 15:59:00
143,93.33,93.35,93.305,93.35,2400,2022-05-27 16:00:00
144,93.32,93.35,93.32,93.32,1693,2022-05-27 16:01:00
145,93.315,93.41,93.3,93.39,3693,2022-05-27 16:02:00
146,93.4,93.4,93.39,93.39,794,2022-05-27 16:03:00
147,93.41,93.42,93.4,93.4,786,2022-05-27 16:04:00
148,93.405,93.405,93.405,93.405,100,2022-05-27 16:05:00
149,93.38,93.38,93.3,93.345,3799,2022-05-27 16:06:00
150,93.35,93.37,93.35,93.37,300,2022-05-27 16:07:00
151,93.37,93.44,93.36,93.44,1960,2022-05-27 16:08:00
152,93.41,93.41,93.41,93.41,100,2022-05-27 16:09:00
153,93.43,93.43,93.43,93.43,100,2022-05-27 16:10:00
154,93.46,93.46,93.46,93.46,440,2022-05-27 16:11:00
155,93.5,93.535,93.5,93.535,600,2022-05-27 16:12:00
156,93.52,93.54,93.5,93.54,676,2022-05-27 16:13:00
157,93.52,93.55,93.52,93.55,301,2022-05-27 16:14:00
158,93.55,93.55,93.4873,93.505,780,2022-05-27 16:15:00
159,93.5,93.52,93.48,93.51,1759,2022-05-27 16:16:00
160,93.48,93.48,93.47,93.47,200,2022-05-27 16:17:00
161,93.45,93.52,93.45,93.52,1718,2022-05-27 16:18:00
162,93.53,93.56,93.53,93.54,300,2022-05-27 16:19:00
163,93.54,93.54,93.53,93.53,1000,2022-05-27 16:20:00
164,93.55,93.65,93.55,93.62,1457,2022-05-27 16:21:00
165,93.66,93.66,93.63,93.66,500,2022-05-27 16:22:00
166,93.59,93.59,93.59,93.59,600,2022-05-27 16:23:00
167,93.57,93.57,93.54,93.57,1000,2022-05-27 16:24:00
168,93.52,93.58,93.52,93.555,700,2022-05-27 16:25:00
169,93.58,93.64,93.58,93.5808,1183,2022-05-27 16:27:00
170,93.64,93.79,93.63,93.75,2226,2022-05-27 16:28:00
171,93.74,93.74,93.74,93.74,100,2022-05-27 16:29:00
172,93.7,93.7,93.69,93.69,400,2022-05-27 16:30:00
173,93.7,93.7,93.7,93.7,156,2022-05-27 16:31:00
174,93.68,93.7,93.66,93.66,5700,2022-05-27 16:32:00
175,93.66,93.67,93.61,93.65,1678,2022-05-27 16:33:00
