,open,high,low,close,volume,datetime
0,14.46,14.5327,14.46,14.5327,1000,2022-05-27 16:45:00
1,14.52,14.52,14.52,14.52,400,2022-05-27 18:12:00
2,14.66,14.66,14.66,14.66,100,2022-05-27 19:23:00
3,14.55,14.55,14.55,14.55,100,2022-05-27 19:56:00
4,14.55,14.58,14.545,14.58,400,2022-05-27 19:58:00
5,14.28,14.28,14.28,14.28,104,2022-05-31 20:00:00
6,14.08,14.08,14.08,14.08,200,2022-06-02 14:44:00
7,14.66,14.66,14.6501,14.6501,1172,2022-06-02 16:36:00
8,14.72,14.72,14.72,14.72,100,2022-06-02 16:37:00
9,14.71,14.76,14.7092,14.7092,1000,2022-06-02 16:39:00
10,14.37,14.37,14.37,14.37,100,2022-06-02 17:00:00
11,14.26,14.26,14.26,14.26,200,2022-06-02 17:11:00
12,14.55,14.55,14.55,14.55,200,2022-06-02 18:29:00
13,14.79,14.79,14.79,14.79,200,2022-06-02 18:37:00
14,14.94,14.94,14.94,14.94,330,2022-06-02 19:03:00
15,14.82,14.87,14.8167,14.87,800,2022-06-02 19:30:00
16,14.88,14.94,14.88,14.9364,300,2022-06-02 19:33:00
17,14.8,14.8,14.8,14.8,300,2022-06-02 19:46:00
18,14.79,14.79,14.79,14.79,400,2022-06-02 19:48:00
19,14.8,14.8,14.8,14.8,400,2022-06-02 19:49:00
20,14.8,14.8,14.8,14.8,900,2022-06-02 19:51:00
21,14.7,14.7,14.7,14.7,107,2022-06-02 20:00:00
22,14.41,14.41,14.41,14.41,252,2022-06-03 14:27:00
23,14.4294,14.46,14.4294,14.46,200,2022-06-03 14:35:00
24,14.48,14.48,14.48,14.48,200,2022-06-03 15:44:00
25,14.44,14.44,14.44,14.44,100,2022-06-03 16:40:00
26,14.38,14.38,14.38,14.38,100,2022-06-03 16:43:00
27,14.38,14.38,14.38,14.38,300,2022-06-03 16:49:00
28,14.25,14.3,14.24,14.3,900,2022-06-03 16:57:00
29,14.3,14.32,14.3,14.32,200,2022-06-03 19:27:00
30,14.25,14.25,14.25,14.25,100,2022-06-03 20:00:00
31,14.18,14.29,14.18,14.29,600,2022-06-06 14:13:00
32,14.14,14.14,14.14,14.14,200,2022-06-06 16:32:00
33,14.08,14.08,14.08,14.08,200,2022-06-06 17:30:00
34,14.31,14.31,14.31,14.31,100,2022-06-06 19:55:00
35,14.275,14.275,14.1035,14.13,3000,2022-06-07 15:37:00
36,14.2999,14.2999,14.2999,14.2999,1000,2022-06-07 17:18:00
37,14.3,14.3,14.3,14.3,200,2022-06-07 18:43:00
38,14.46,14.46,14.46,14.46,218,2022-06-08 13:30:00
39,14.3,14.3,14.3,14.3,300,2022-06-08 19:47:00
40,14.14,14.14,14.14,14.14,193,2022-06-09 19:37:00
41,14.14,14.14,14.14,14.14,100,2022-06-09 19:40:00
42,13.8501,13.8501,13.8501,13.8501,200,2022-06-10 16:21:00
43,13.8501,13.8501,13.8501,13.8501,900,2022-06-10 16:28:00
44,13.92,13.92,13.87,13.87,660,2022-06-10 16:29:00
45,14.175,14.175,14.175,14.175,1100,2022-06-10 16:39:00
46,13.86,14.175,13.86,14.175,502,2022-06-10 16:41:00
47,13.9,13.9,13.88,13.9,300,2022-06-10 16:43:00
48,13.75,13.75,13.65,13.75,650,2022-06-10 16:45:00
49,14.18,14.18,14.1,14.1,550,2022-06-10 19:56:00
