,open,high,low,close,volume,datetime
0,16.47,16.47,16.47,16.47,236,2022-05-27 13:30:00
1,16.47,16.47,16.47,16.47,100,2022-05-27 13:51:00
2,16.51,16.51,16.51,16.51,100,2022-05-27 18:25:00
3,16.51,16.51,16.51,16.51,100,2022-05-27 19:34:00
4,16.7165,16.7165,16.7165,16.7165,830,2022-05-27 19:41:00
5,16.29,16.29,16.29,16.29,100,2022-05-31 12:42:00
6,16.37,16.37,16.37,16.37,341,2022-05-31 13:30:00
7,16.36,16.36,16.36,16.36,102,2022-05-31 13:34:00
8,16.4636,16.4636,16.4636,16.4636,150,2022-05-31 14:34:00
9,16.14,16.14,16.14,16.14,100,2022-05-31 15:03:00
10,16.39,16.39,16.39,16.39,100,2022-05-31 16:22:00
11,16.38,16.38,16.38,16.38,100,2022-06-01 16:40:00
12,16.43,16.43,16.38,16.38,217,2022-06-01 19:34:00
13,16.21,16.21,16.21,16.21,100,2022-06-01 19:50:00
14,16.22,16.22,16.22,16.22,100,2022-06-02 16:51:00
15,16.19,16.19,16.19,16.19,100,2022-06-03 16:40:00
16,16.215,16.215,16.215,16.215,100,2022-06-06 16:38:00
17,16.1,16.1,16.1,16.1,370,2022-06-06 19:35:00
18,16.08,16.08,16.08,16.08,100,2022-06-06 19:45:00
19,16.0,16.0,15.9,15.9,513,2022-06-07 13:30:00
20,15.39,15.39,15.39,15.39,100,2022-06-07 13:58:00
21,15.4518,15.4518,15.4518,15.4518,102,2022-06-07 14:20:00
22,15.4001,15.4001,15.4001,15.4001,134,2022-06-07 16:34:00
23,15.805,15.805,15.805,15.805,299,2022-06-07 19:10:00
24,15.6303,15.6303,15.6303,15.6303,100,2022-06-08 16:20:00
25,14.68,14.88,14.68,14.88,200,2022-06-08 19:29:00
26,15.01,15.01,15.01,15.01,133,2022-06-08 20:02:00
27,15.16,15.16,15.13,15.13,300,2022-06-09 12:42:00
28,14.68,14.68,14.68,14.68,100,2022-06-09 14:20:00
29,14.98,14.98,14.98,14.98,162,2022-06-10 13:30:00
