,open,high,low,close,volume,datetime
0,2.78,2.78,2.78,2.78,100,2022-05-27 11:00:00
1,2.82,2.82,2.82,2.82,156,2022-05-27 11:02:00
2,2.78,2.78,2.78,2.78,100,2022-05-27 11:23:00
3,2.78,2.78,2.75,2.75,345,2022-05-27 11:36:00
4,2.72,2.72,2.7,2.7,459,2022-05-27 12:04:00
5,2.71,2.71,2.71,2.71,100,2022-05-27 12:06:00
6,2.7698,2.7698,2.7698,2.7698,100,2022-05-27 12:09:00
7,2.7,2.7,2.7,2.7,500,2022-05-27 12:14:00
8,2.7698,2.7698,2.7698,2.7698,125,2022-05-27 12:15:00
9,2.77,2.77,2.77,2.77,5000,2022-05-27 12:22:00
10,2.77,2.77,2.77,2.77,2500,2022-05-27 12:26:00
11,2.72,2.72,2.72,2.72,500,2022-05-27 12:28:00
12,2.7999,2.8,2.7999,2.8,3100,2022-05-27 12:32:00
13,2.7992,2.7992,2.7992,2.7992,499,2022-05-27 12:33:00
14,2.7973,2.7973,2.7973,2.7973,150,2022-05-27 12:37:00
15,2.7998,2.7998,2.79,2.79,2150,2022-05-27 12:39:00
16,2.7959,2.7959,2.7959,2.7959,150,2022-05-27 12:50:00
17,2.76,2.76,2.73,2.73,1000,2022-05-27 12:53:00
18,2.76,2.76,2.76,2.76,284,2022-05-27 12:55:00
19,2.78,2.78,2.74,2.74,1100,2022-05-27 12:59:00
20,2.78,2.78,2.74,2.74,550,2022-05-27 13:00:00
21,2.78,2.79,2.78,2.79,948,2022-05-27 13:01:00
22,2.7899,2.7899,2.7899,2.7899,1000,2022-05-27 13:05:00
23,2.78,2.78,2.78,2.78,900,2022-05-27 13:08:00
24,2.74,2.74,2.74,2.74,108,2022-05-27 13:12:00
25,2.78,2.78,2.78,2.78,100,2022-05-27 13:15:00
26,2.73,2.73,2.73,2.73,350,2022-05-27 13:18:00
27,2.7986,2.7986,2.7986,2.7986,200,2022-05-27 13:19:00
28,2.8,2.8,2.73,2.73,683,2022-05-27 13:21:00
29,2.8,2.8,2.8,2.8,100,2022-05-27 13:23:00
30,2.79,2.81,2.79,2.8,2038,2022-05-27 13:25:00
31,2.79,2.81,2.79,2.8,7675,2022-05-27 13:27:00
32,2.79,2.81,2.775,2.81,73915,2022-05-27 13:30:00
33,2.82,2.84,2.82,2.84,35096,2022-05-27 13:31:00
34,2.845,2.87,2.84,2.87,8771,2022-05-27 13:32:00
35,2.865,2.865,2.84,2.85,14284,2022-05-27 13:33:00
36,2.84,2.84,2.7923,2.7923,67434,2022-05-27 13:34:00
37,2.7913,2.805,2.78,2.8,31678,2022-05-27 13:35:00
38,2.81,2.83,2.81,2.815,10758,2022-05-27 13:36:00
39,2.8188,2.825,2.81,2.815,16641,2022-05-27 13:37:00
40,2.82,2.83,2.805,2.81,11242,2022-05-27 13:38:00
41,2.81,2.82,2.8,2.805,7450,2022-05-27 13:39:00
42,2.805,2.84,2.805,2.82,17393,2022-05-27 13:40:00
43,2.82,2.8481,2.82,2.84,22657,2022-05-27 13:41:00
44,2.83,2.839,2.825,2.8257,16565,2022-05-27 13:42:00
45,2.83,2.8389,2.8242,2.8296,8534,2022-05-27 13:43:00
46,2.825,2.83,2.8111,2.8111,41192,2022-05-27 13:44:00
47,2.81,2.82,2.8,2.8007,26518,2022-05-27 13:45:00
48,2.805,2.81,2.7999,2.8,16100,2022-05-27 13:46:00
49,2.81,2.815,2.795,2.8,22675,2022-05-27 13:47:00
50,2.81,2.82,2.81,2.8194,19620,2022-05-27 13:48:00
51,2.82,2.83,2.8108,2.815,18337,2022-05-27 13:49:00
52,2.81,2.82,2.8036,2.815,7836,2022-05-27 13:50:00
53,2.81,2.815,2.805,2.815,6812,2022-05-27 13:51:00
54,2.82,2.82,2.8,2.8,5600,2022-05-27 13:52:00
55,2.7995,2.81,2.7901,2.81,7856,2022-05-27 13:53:00
56,2.81,2.83,2.81,2.81,9625,2022-05-27 13:54:00
57,2.81,2.825,2.81,2.8118,6985,2022-05-27 13:55:00
58,2.8112,2.84,2.81,2.84,29470,2022-05-27 13:56:00
59,2.84,2.84,2.83,2.8397,10575,2022-05-27 13:57:00
60,2.84,2.85,2.835,2.84,34193,2022-05-27 13:58:00
61,2.8469,2.85,2.841,2.85,1749,2022-05-27 13:59:00
62,2.84,2.85,2.84,2.8401,11085,2022-05-27 14:00:00
63,2.845,2.85,2.83,2.85,7546,2022-05-27 14:01:00
64,2.855,2.855,2.845,2.8521,4982,2022-05-27 14:02:00
65,2.855,2.855,2.85,2.85,5700,2022-05-27 14:03:00
66,2.8591,2.8591,2.845,2.85,3135,2022-05-27 14:04:00
67,2.85,2.86,2.85,2.86,6120,2022-05-27 14:05:00
68,2.86,2.86,2.8501,2.8521,2050,2022-05-27 14:06:00
69,2.86,2.86,2.8502,2.8502,1700,2022-05-27 14:07:00
70,2.85,2.8512,2.845,2.849,3208,2022-05-27 14:08:00
71,2.845,2.86,2.84,2.852,14418,2022-05-27 14:09:00
72,2.85,2.87,2.85,2.8688,52817,2022-05-27 14:10:00
73,2.865,2.87,2.86,2.87,2800,2022-05-27 14:11:00
74,2.86,2.8653,2.86,2.86,10036,2022-05-27 14:12:00
75,2.8699,2.87,2.855,2.87,11710,2022-05-27 14:13:00
76,2.865,2.87,2.86,2.86,6007,2022-05-27 14:14:00
77,2.86,2.865,2.8501,2.8594,11750,2022-05-27 14:15:00
78,2.86,2.87,2.86,2.87,5416,2022-05-27 14:16:00
79,2.8618,2.87,2.86,2.8679,12350,2022-05-27 14:17:00
80,2.865,2.8667,2.86,2.8667,1050,2022-05-27 14:18:00
81,2.865,2.865,2.86,2.86,600,2022-05-27 14:19:00
82,2.865,2.88,2.8608,2.87,21383,2022-05-27 14:20:00
83,2.875,2.8787,2.8707,2.8769,1789,2022-05-27 14:21:00
84,2.87,2.875,2.87,2.875,1600,2022-05-27 14:22:00
85,2.8734,2.879,2.8734,2.879,1400,2022-05-27 14:23:00
86,2.875,2.8788,2.875,2.875,9750,2022-05-27 14:24:00
87,2.875,2.875,2.8734,2.8734,408,2022-05-27 14:25:00
88,2.8796,2.89,2.8796,2.89,15148,2022-05-27 14:26:00
89,2.89,2.895,2.8831,2.89,5240,2022-05-27 14:27:00
90,2.885,2.89,2.885,2.89,1332,2022-05-27 14:28:00
91,2.89,2.8994,2.8838,2.89,29040,2022-05-27 14:29:00
92,2.885,2.89,2.885,2.89,2500,2022-05-27 14:30:00
93,2.8912,2.9,2.89,2.895,1961,2022-05-27 14:31:00
94,2.9,2.9088,2.895,2.9,11872,2022-05-27 14:32:00
95,2.905,2.905,2.89,2.9,8172,2022-05-27 14:33:00
96,2.8999,2.91,2.8921,2.91,17964,2022-05-27 14:34:00
97,2.91,2.915,2.91,2.915,2855,2022-05-27 14:35:00
98,2.91,2.92,2.91,2.92,1242,2022-05-27 14:36:00
99,2.92,2.93,2.92,2.9213,21105,2022-05-27 14:37:00
100,2.9288,2.93,2.92,2.925,4966,2022-05-27 14:38:00
101,2.92,2.93,2.92,2.92,15262,2022-05-27 14:39:00
102,2.925,2.925,2.9109,2.915,3716,2022-05-27 14:40:00
103,2.915,2.92,2.9122,2.915,2700,2022-05-27 14:41:00
104,2.91,2.9102,2.9,2.9,9273,2022-05-27 14:42:00
105,2.9,2.9001,2.89,2.895,20212,2022-05-27 14:43:00
106,2.895,2.9,2.88,2.895,15877,2022-05-27 14:44:00
107,2.895,2.9,2.895,2.8987,1254,2022-05-27 14:45:00
108,2.9,2.9,2.885,2.886,7070,2022-05-27 14:46:00
109,2.8812,2.89,2.8812,2.885,11292,2022-05-27 14:47:00
110,2.8812,2.8898,2.8812,2.885,2906,2022-05-27 14:48:00
111,2.88,2.89,2.88,2.8886,5000,2022-05-27 14:49:00
112,2.8893,2.895,2.8815,2.895,12677,2022-05-27 14:50:00
