,open,high,low,close,volume,datetime
0,158.0,158.0,158.0,158.0,300,2022-05-27 11:00:00
1,157.99,157.99,157.99,157.99,179,2022-05-27 13:28:00
2,157.99,157.99,157.33,157.33,391,2022-05-27 13:29:00
3,158.27,158.99,158.27,158.88,21701,2022-05-27 13:30:00
4,158.76,158.78,158.3795,158.78,1630,2022-05-27 13:31:00
5,158.72,158.72,158.4,158.4,500,2022-05-27 13:32:00
6,158.68,159.05,158.68,158.955,1727,2022-05-27 13:33:00
7,159.16,159.22,159.06,159.22,1531,2022-05-27 13:34:00
8,159.29,159.29,159.12,159.28,535,2022-05-27 13:35:00
9,159.16,159.16,159.0,159.05,2665,2022-05-27 13:36:00
10,159.0,159.055,158.87,158.87,800,2022-05-27 13:37:00
11,158.97,159.01,158.85,159.01,1231,2022-05-27 13:38:00
12,159.21,159.34,159.21,159.33,1250,2022-05-27 13:39:00
13,159.23,159.35,159.23,159.35,1000,2022-05-27 13:40:00
14,159.19,159.19,158.86,159.1164,1009,2022-05-27 13:42:00
15,158.96,159.31,158.96,159.31,1400,2022-05-27 13:43:00
16,159.38,159.38,159.1,159.36,4582,2022-05-27 13:44:00
17,159.3399,159.44,159.29,159.29,491,2022-05-27 13:45:00
18,159.13,159.28,159.13,159.28,944,2022-05-27 13:46:00
19,159.29,159.53,159.26,159.49,2008,2022-05-27 13:47:00
20,159.42,159.54,159.42,159.54,669,2022-05-27 13:48:00
21,159.475,159.49,159.45,159.45,500,2022-05-27 13:49:00
22,159.49,159.49,159.38,159.38,1426,2022-05-27 13:50:00
23,159.32,159.58,159.32,159.58,1490,2022-05-27 13:51:00
24,159.64,159.81,159.64,159.81,660,2022-05-27 13:52:00
25,159.88,159.93,159.88,159.93,503,2022-05-27 13:53:00
26,159.9,159.9,159.63,159.74,1778,2022-05-27 13:54:00
27,159.68,159.68,159.61,159.61,430,2022-05-27 13:55:00
28,159.78,159.78,159.57,159.57,1503,2022-05-27 13:56:00
29,159.645,159.645,159.43,159.49,1716,2022-05-27 13:57:00
30,159.46,159.54,159.46,159.46,1939,2022-05-27 13:58:00
31,159.395,159.395,159.22,159.26,2199,2022-05-27 13:59:00
32,159.28,159.46,159.27,159.43,1931,2022-05-27 14:00:00
33,159.46,159.68,159.46,159.57,1955,2022-05-27 14:01:00
34,159.575,159.6993,159.55,159.6993,608,2022-05-27 14:02:00
35,159.56,159.56,159.48,159.54,1545,2022-05-27 14:03:00
36,159.57,159.57,159.53,159.565,600,2022-05-27 14:04:00
37,159.47,159.59,159.21,159.21,771,2022-05-27 14:05:00
38,159.24,159.24,159.13,159.13,200,2022-05-27 14:06:00
39,159.17,159.235,159.16,159.2,2670,2022-05-27 14:07:00
40,159.22,159.28,159.22,159.23,1500,2022-05-27 14:08:00
41,159.23,159.23,159.18,159.18,536,2022-05-27 14:09:00
42,159.165,159.165,158.89,159.02,1732,2022-05-27 14:10:00
43,159.0,159.06,159.0,159.06,519,2022-05-27 14:11:00
44,159.0925,159.138,159.06,159.095,725,2022-05-27 14:12:00
45,159.09,159.17,159.09,159.17,570,2022-05-27 14:13:00
46,159.19,159.2,159.1,159.1,3852,2022-05-27 14:14:00
47,159.135,159.14,159.03,159.03,400,2022-05-27 14:15:00
48,159.0928,159.13,159.06,159.06,1395,2022-05-27 14:16:00
49,159.07,159.07,159.03,159.03,301,2022-05-27 14:17:00
50,158.96,159.2,158.96,159.15,1822,2022-05-27 14:18:00
51,159.21,159.21,159.21,159.21,101,2022-05-27 14:19:00
52,159.26,159.26,159.13,159.13,481,2022-05-27 14:20:00
53,159.22,159.23,159.13,159.13,400,2022-05-27 14:21:00
54,159.1,159.195,159.1,159.195,1023,2022-05-27 14:22:00
55,159.16,159.39,159.14,159.39,1632,2022-05-27 14:23:00
56,159.42,159.42,159.38,159.38,426,2022-05-27 14:24:00
57,159.29,159.306,159.27,159.296,1236,2022-05-27 14:25:00
58,159.28,159.29,159.115,159.16,1100,2022-05-27 14:26:00
59,159.195,159.195,159.185,159.185,300,2022-05-27 14:27:00
60,159.23,159.315,159.23,159.25,1002,2022-05-27 14:28:00
61,159.2602,159.27,159.22,159.225,658,2022-05-27 14:29:00
62,159.27,159.36,159.27,159.36,921,2022-05-27 14:30:00
63,159.4,159.41,159.39,159.405,900,2022-05-27 14:31:00
64,159.33,159.36,159.29,159.36,626,2022-05-27 14:32:00
65,159.355,159.355,159.24,159.24,600,2022-05-27 14:33:00
66,159.18,159.18,159.01,159.01,625,2022-05-27 14:34:00
67,158.99,159.05,158.99,159.01,800,2022-05-27 14:35:00
68,159.01,159.01,158.955,158.955,400,2022-05-27 14:36:00
69,158.955,158.955,158.82,158.82,640,2022-05-27 14:37:00
70,158.89,158.92,158.86,158.87,940,2022-05-27 14:38:00
71,158.85,158.99,158.85,158.99,1410,2022-05-27 14:39:00
72,158.96,159.03,158.89,158.91,3230,2022-05-27 14:40:00
73,158.86,158.94,158.86,158.94,1000,2022-05-27 14:41:00
74,158.95,159.01,158.89,158.91,1609,2022-05-27 14:42:00
75,158.88,159.06,158.88,159.06,2623,2022-05-27 14:43:00
76,159.07,159.07,159.03,159.05,1201,2022-05-27 14:44:00
77,159.04,159.04,159.04,159.04,200,2022-05-27 14:45:00
78,158.98,159.22,158.98,159.16,5531,2022-05-27 14:46:00
79,159.19,159.31,159.19,159.31,1338,2022-05-27 14:47:00
80,159.32,159.32,159.3,159.3,697,2022-05-27 14:48:00
81,159.27,159.33,159.25,159.287,1622,2022-05-27 14:49:00
82,159.25,159.31,159.25,159.3,800,2022-05-27 14:50:00
83,159.25,159.27,159.25,159.27,607,2022-05-27 14:51:00
84,159.25,159.25,159.13,159.17,900,2022-05-27 14:52:00
85,159.155,159.21,159.1218,159.1218,3539,2022-05-27 14:53:00
86,159.14,159.17,159.11,159.12,2300,2022-05-27 14:54:00
87,159.15,159.245,159.15,159.19,3090,2022-05-27 14:55:00
88,159.24,159.26,159.21,159.21,1480,2022-05-27 14:56:00
89,159.1811,159.29,159.1811,159.2578,1616,2022-05-27 14:57:00
90,159.29,159.3,159.215,159.215,1500,2022-05-27 14:58:00
91,159.24,159.28,159.15,159.18,1372,2022-05-27 14:59:00
92,159.21,159.21,159.15,159.2,1709,2022-05-27 15:00:00
93,159.16,159.18,159.12,159.12,1011,2022-05-27 15:01:00
94,159.17,159.215,159.16,159.215,1450,2022-05-27 15:02:00
95,159.2,159.28,159.2,159.245,1717,2022-05-27 15:03:00
96,159.27,159.28,159.19,159.23,1603,2022-05-27 15:04:00
97,159.28,159.31,159.27,159.28,501,2022-05-27 15:05:00
98,159.27,159.29,159.22,159.22,660,2022-05-27 15:06:00
99,159.23,159.23,159.09,159.09,802,2022-05-27 15:07:00
100,159.05,159.05,159.01,159.02,700,2022-05-27 15:08:00
101,159.07,159.16,159.07,159.16,700,2022-05-27 15:09:00
102,159.21,159.24,159.19,159.19,403,2022-05-27 15:10:00
103,159.18,159.195,159.18,159.195,670,2022-05-27 15:11:00
104,159.15,159.1699,159.1407,159.1407,341,2022-05-27 15:12:00
105,159.13,159.17,159.09,159.165,2220,2022-05-27 15:13:00
106,159.17,159.215,159.075,159.1,1252,2022-05-27 15:14:00
107,159.13,159.15,159.1,159.15,850,2022-05-27 15:15:00
108,159.145,159.175,159.145,159.175,1100,2022-05-27 15:16:00
109,159.17,159.2,159.085,159.2,1757,2022-05-27 15:17:00
110,159.21,159.24,159.175,159.21,851,2022-05-27 15:18:00
111,159.165,159.165,159.13,159.13,200,2022-05-27 15:19:00
112,159.06,159.06,159.0,159.06,1605,2022-05-27 15:20:00
113,159.155,159.155,159.1,159.1182,626,2022-05-27 15:21:00
114,159.02,159.04,158.97,159.04,601,2022-05-27 15:23:00
115,159.05,159.11,159.05,159.11,800,2022-05-27 15:24:00
116,159.09,159.09,159.07,159.07,400,2022-05-27 15:25:00
117,159.09,159.09,159.0762,159.0762,291,2022-05-27 15:26:00
118,159.1,159.12,159.08,159.12,896,2022-05-27 15:27:00
119,159.125,159.125,159.09,159.12,838,2022-05-27 15:28:00
120,159.12,159.18,159.1,159.1,817,2022-05-27 15:29:00
121,159.1,159.11,159.05,159.05,1095,2022-05-27 15:30:00
122,159.02,159.02,158.99,158.99,741,2022-05-27 15:31:00
123,159.02,159.02,159.0,159.02,500,2022-05-27 15:32:00
124,159.02,159.02,158.975,159.01,400,2022-05-27 15:33:00
125,159.01,159.05,159.005,159.005,2845,2022-05-27 15:34:00
126,158.99,158.99,158.95,158.99,1172,2022-05-27 15:35:00
127,158.99,158.99,158.9,158.91,905,2022-05-27 15:36:00
128,158.9,158.9,158.85,158.89,1360,2022-05-27 15:37:00
129,158.89,159.01,158.89,159.01,2081,2022-05-27 15:38:00
130,159.03,159.03,158.97,158.97,801,2022-05-27 15:39:00
131,159.01,159.045,159.01,159.045,653,2022-05-27 15:40:00
132,159.02,159.08,159.02,159.08,1350,2022-05-27 15:41:00
133,159.13,159.19,159.13,159.18,960,2022-05-27 15:42:00
134,159.17,159.25,159.17,159.25,750,2022-05-27 15:43:00
135,159.225,159.24,159.21,159.21,589,2022-05-27 15:44:00
136,159.23,159.3,159.23,159.3,500,2022-05-27 15:45:00
137,159.38,159.42,159.38,159.42,700,2022-05-27 15:47:00
138,159.41,159.41,159.36,159.39,800,2022-05-27 15:48:00
139,159.39,159.4,159.32,159.35,2847,2022-05-27 15:49:00
140,159.32,159.34,159.3,159.3,600,2022-05-27 15:50:00
141,159.28,159.305,159.26,159.305,1766,2022-05-27 15:51:00
142,159.305,159.42,159.305,159.4,3965,2022-05-27 15:52:00
143,159.39,159.44,159.39,159.44,400,2022-05-27 15:53:00
144,159.455,159.455,159.405,159.44,1328,2022-05-27 15:54:00
145,159.45,159.465,159.44,159.46,482,2022-05-27 15:55:00
146,159.485,159.49,159.485,159.49,200,2022-05-27 15:56:00
147,159.495,159.54,159.46,159.46,2002,2022-05-27 15:57:00
148,159.46,159.46,159.37,159.41,1130,2022-05-27 15:59:00
149,159.39,159.42,159.38,159.42,1254,2022-05-27 16:00:00
150,159.44,159.5395,159.44,159.5,1631,2022-05-27 16:01:00
151,159.47,159.47,159.39,159.46,412,2022-05-27 16:02:00
152,159.455,159.455,159.455,159.455,100,2022-05-27 16:03:00
153,159.4,159.575,159.4,159.575,1400,2022-05-27 16:04:00
154,159.54,159.54,159.48,159.48,599,2022-05-27 16:05:00
155,159.4926,159.52,159.49,159.5,550,2022-05-27 16:06:00
156,159.5,159.535,159.5,159.52,1387,2022-05-27 16:07:00
157,159.545,159.59,159.545,159.59,225,2022-05-27 16:08:00
158,159.57,159.57,159.525,159.525,1405,2022-05-27 16:09:00
159,159.57,159.585,159.56,159.56,613,2022-05-27 16:10:00
160,159.52,159.53,159.47,159.48,1450,2022-05-27 16:11:00
161,159.53,159.55,159.53,159.545,400,2022-05-27 16:12:00
162,159.53,159.53,159.45,159.45,644,2022-05-27 16:13:00
163,159.44,159.49,159.44,159.49,1003,2022-05-27 16:14:00
164,159.48,159.53,159.48,159.53,1589,2022-05-27 16:15:00
165,159.5396,159.5925,159.5396,159.5925,1119,2022-05-27 16:16:00
166,159.69,159.75,159.69,159.75,729,2022-05-27 16:17:00
167,159.73,159.75,159.7,159.7,1560,2022-05-27 16:18:00
168,159.67,159.76,159.67,159.73,2301,2022-05-27 16:19:00
169,159.74,159.74,159.645,159.66,800,2022-05-27 16:20:00
170,159.7,159.7,159.6,159.6,1569,2022-05-27 16:21:00
171,159.6,159.6,159.4789,159.4789,990,2022-05-27 16:22:00
172,159.52,159.605,159.52,159.565,1118,2022-05-27 16:23:00
173,159.61,159.63,159.61,159.63,406,2022-05-27 16:24:00
174,159.59,159.59,159.58,159.58,550,2022-05-27 16:25:00
175,159.54,159.57,159.5,159.5,604,2022-05-27 16:26:00
176,159.57,159.67,159.57,159.67,1201,2022-05-27 16:27:00
177,159.7,159.76,159.7,159.735,647,2022-05-27 16:28:00
178,159.76,159.76,159.73,159.74,845,2022-05-27 16:29:00
179,159.74,159.75,159.68,159.71,784,2022-05-27 16:30:00
180,159.65,159.65,159.65,159.65,200,2022-05-27 16:31:00
181,159.65,159.65,159.65,159.65,203,2022-05-27 16:32:00
182,159.66,159.66,159.59,159.59,456,2022-05-27 16:33:00
183,159.59,159.65,159.58,159.65,1052,2022-05-27 16:34:00
184,159.605,159.605,159.605,159.605,100,2022-05-27 16:35:00
185,159.61,159.69,159.61,159.67,1501,2022-05-27 16:36:00
186,159.695,159.75,159.695,159.75,647,2022-05-27 16:37:00
187,159.71,159.71,159.69,159.7,460,2022-05-27 16:38:00
188,159.71,159.77,159.68,159.77,300,2022-05-27 16:39:00
189,159.755,159.755,159.755,159.755,342,2022-05-27 16:40:00
190,159.73,159.75,159.69,159.72,1569,2022-05-27 16:41:00
191,159.63,159.64,159.63,159.64,285,2022-05-27 16:42:00
192,159.58,159.69,159.58,159.69,500,2022-05-27 16:44:00
193,159.68,159.68,159.66,159.67,990,2022-05-27 16:45:00
194,159.66,159.68,159.64,159.68,410,2022-05-27 16:46:00
195,159.659,159.68,159.65,159.66,1497,2022-05-27 16:47:00
196,159.62,159.62,159.56,159.56,414,2022-05-27 16:48:00
197,159.55,159.55,159.48,159.55,3744,2022-05-27 16:49:00
198,159.54,159.54,159.46,159.46,501,2022-05-27 16:50:00
199,159.45,159.48,159.445,159.48,2086,2022-05-27 16:51:00
200,159.54,159.54,159.52,159.52,816,2022-05-27 16:52:00
201,159.58,159.58,159.56,159.56,400,2022-05-27 16:53:00
202,159.54,159.54,159.51,159.517,311,2022-05-27 16:54:00
203,159.54,159.56,159.54,159.56,1539,2022-05-27 16:55:00
204,159.53,159.53,159.5,159.52,900,2022-05-27 16:56:00
205,159.5,159.55,159.48,159.52,1113,2022-05-27 16:57:00
206,159.54,159.54,159.54,159.54,100,2022-05-27 16:58:00
207,159.5348,159.5348,159.4756,159.4756,782,2022-05-27 16:59:00
208,159.5127,159.54,159.5127,159.535,1434,2022-05-27 17:00:00
209,159.55,159.55,159.5202,159.5202,617,2022-05-27 17:01:00
210,159.55,159.61,159.54,159.61,1000,2022-05-27 17:02:00
211,159.64,159.74,159.64,159.74,400,2022-05-27 17:03:00
212,159.75,159.75,159.6296,159.63,1763,2022-05-27 17:04:00
213,159.65,159.72,159.65,159.68,780,2022-05-27 17:05:00
214,159.6825,159.6825,159.64,159.66,1456,2022-05-27 17:06:00
215,159.63,159.63,159.63,159.63,127,2022-05-27 17:07:00
216,159.6,159.6,159.585,159.585,300,2022-05-27 17:08:00
217,159.585,159.64,159.585,159.61,860,2022-05-27 17:09:00
218,159.61,159.72,159.61,159.72,3412,2022-05-27 17:10:00
219,159.72,159.808,159.72,159.78,4481,2022-05-27 17:11:00
220,159.81,159.83,159.81,159.825,1047,2022-05-27 17:12:00
