,open,high,low,close,volume,datetime
0,13.6,13.6,13.6,13.6,540,2022-05-31 13:09:00
1,15.1,15.1,15.1,15.1,540,2022-05-31 13:10:00
2,14.7499,14.7499,14.7499,14.7499,500,2022-06-03 15:18:00
3,14.75,14.75,14.75,14.75,226,2022-06-03 15:37:00
4,14.7514,14.7514,14.7514,14.7514,355,2022-06-03 15:56:00
5,14.75,14.75,14.75,14.75,268,2022-06-03 18:15:00
6,14.84,14.85,14.84,14.85,200,2022-06-03 19:40:00
7,14.72,14.72,14.72,14.72,185,2022-06-07 20:00:00
8,14.8,14.8,14.8,14.8,291,2022-06-08 19:04:00
9,14.66,14.98,14.66,14.66,611,2022-06-08 19:45:00
10,14.85,14.85,14.85,14.85,111,2022-06-09 19:46:00
11,15.29,15.29,15.26,15.26,200,2022-06-09 19:59:00
12,14.71,14.71,14.65,14.65,200,2022-06-10 18:06:00
13,14.7,14.7,14.65,14.65,508,2022-06-10 19:50:00
14,14.65,14.65,14.65,14.65,500,2022-06-10 19:55:00
15,14.65,14.65,14.65,14.65,2537,2022-06-10 20:00:00
