,open,high,low,close,volume,datetime
0,0.6579,0.6579,0.6579,0.6579,2244,2022-05-27 13:30:00
1,0.6628,0.6628,0.6628,0.6628,1500,2022-05-27 14:14:00
2,0.69,0.71,0.69,0.71,1546,2022-05-27 14:17:00
3,0.71,0.71,0.71,0.71,350,2022-05-27 14:22:00
4,0.71,0.71,0.71,0.71,200,2022-05-27 14:23:00
5,0.715,0.7249,0.715,0.7249,9700,2022-05-27 15:00:00
6,0.725,0.725,0.725,0.725,700,2022-05-27 15:01:00
7,0.73,0.73,0.73,0.73,100,2022-05-27 15:03:00
8,0.73,0.73,0.73,0.73,1100,2022-05-27 15:04:00
9,0.73,0.73,0.7299,0.7299,500,2022-05-27 15:07:00
10,0.7299,0.7299,0.7299,0.7299,100,2022-05-27 15:09:00
11,0.7299,0.7299,0.7299,0.7299,400,2022-05-27 15:10:00
12,0.73,0.73,0.73,0.73,700,2022-05-27 15:11:00
13,0.73,0.73,0.73,0.73,400,2022-05-27 15:12:00
14,0.73,0.73,0.73,0.73,5300,2022-05-27 15:17:00
15,0.71,0.71,0.71,0.71,1000,2022-05-27 15:18:00
16,0.7399,0.74,0.738501,0.74,591,2022-05-27 15:19:00
17,0.73,0.73,0.73,0.73,200,2022-05-27 15:20:00
18,0.73,0.73,0.73,0.73,100,2022-05-27 15:32:00
19,0.73,0.73,0.73,0.73,400,2022-05-27 15:33:00
20,0.7299,0.7299,0.7299,0.7299,190,2022-05-27 15:45:00
21,0.71,0.71,0.71,0.71,100,2022-05-27 15:46:00
22,0.72,0.72,0.72,0.72,990,2022-05-27 16:18:00
23,0.722,0.722,0.716901,0.716901,500,2022-05-27 16:21:00
24,0.717,0.717,0.717,0.717,1700,2022-05-27 16:35:00
25,0.7111,0.7111,0.7111,0.7111,1000,2022-05-27 16:44:00
26,0.73,0.73,0.73,0.73,1400,2022-05-27 17:00:00
27,0.72,0.72,0.72,0.72,600,2022-05-27 17:03:00
28,0.72,0.72,0.72,0.72,100,2022-05-27 17:04:00
29,0.72,0.73,0.72,0.72,3400,2022-05-27 17:05:00
30,0.7299,0.73,0.7299,0.73,500,2022-05-27 17:54:00
31,0.73,0.73,0.73,0.73,335,2022-05-27 18:34:00
32,0.711,0.711,0.711,0.711,1000,2022-05-27 19:07:00
33,0.73,0.73,0.73,0.73,100,2022-05-27 19:23:00
34,0.73,0.73,0.73,0.73,200,2022-05-27 19:30:00
35,0.73,0.73,0.73,0.73,200,2022-05-27 19:31:00
36,0.726,0.726,0.726,0.726,100,2022-05-27 19:33:00
37,0.7298,0.7298,0.7298,0.7298,1300,2022-05-27 19:37:00
38,0.722,0.722,0.722,0.722,199,2022-05-27 19:43:00
39,0.73,0.73,0.726,0.73,1451,2022-05-27 19:50:00
40,0.7379,0.74,0.7379,0.74,1099,2022-05-27 19:52:00
41,0.7562,0.7562,0.7562,0.7562,100,2022-05-27 20:04:00
42,0.7301,0.7301,0.7178,0.7178,3635,2022-05-31 13:30:00
43,0.74,0.74,0.74,0.74,100,2022-05-31 13:46:00
44,0.726049,0.726049,0.726049,0.726049,100,2022-05-31 13:54:00
45,0.74,0.74,0.7351,0.74,1000,2022-05-31 13:59:00
46,0.74,0.74,0.74,0.74,9177,2022-05-31 14:00:00
47,0.74,0.74,0.74,0.74,600,2022-05-31 14:05:00
48,0.74,0.74,0.74,0.74,600,2022-05-31 14:07:00
49,0.7375,0.7375,0.7375,0.7375,200,2022-05-31 14:09:00
50,0.7352,0.7364,0.7352,0.7364,1100,2022-05-31 14:10:00
51,0.7364,0.7364,0.7364,0.7364,100,2022-05-31 14:19:00
52,0.74,0.74,0.74,0.74,300,2022-05-31 14:25:00
53,0.74,0.74,0.74,0.74,200,2022-05-31 14:34:00
54,0.74,0.74,0.74,0.74,100,2022-05-31 14:35:00
55,0.74,0.74,0.74,0.74,300,2022-05-31 14:40:00
56,0.74,0.74,0.7377,0.7377,12243,2022-05-31 14:58:00
57,0.74,0.74,0.74,0.74,500,2022-05-31 15:00:00
58,0.7355,0.7355,0.7355,0.7355,200,2022-05-31 15:04:00
59,0.74,0.74,0.74,0.74,500,2022-05-31 15:05:00
60,0.74,0.74,0.74,0.74,100,2022-05-31 15:25:00
61,0.74,0.74,0.74,0.74,100,2022-05-31 15:28:00
62,0.74,0.74,0.74,0.74,100,2022-05-31 15:42:00
63,0.7378,0.7523,0.7378,0.7523,5400,2022-05-31 15:52:00
64,0.766599,0.766599,0.766599,0.766599,300,2022-05-31 15:53:00
65,0.7667,0.7667,0.7667,0.7667,200,2022-05-31 15:54:00
66,0.7502,0.7502,0.7502,0.7502,100,2022-05-31 16:09:00
