,open,high,low,close,volume,datetime
0,22.29,22.29,22.25,22.25,2518,2022-05-27 13:30:00
1,22.05,22.23,22.02,22.15,700,2022-05-27 13:34:00
2,22.15,22.16,22.15,22.16,200,2022-05-27 13:36:00
3,22.07,22.07,22.07,22.07,300,2022-05-27 13:37:00
4,22.15,22.16,22.06,22.1,1700,2022-05-27 13:38:00
5,22.03,22.03,22.0,22.0,1400,2022-05-27 13:39:00
6,22.015,22.03,21.875,21.89,1600,2022-05-27 13:40:00
7,21.89,22.0075,21.89,22.0075,300,2022-05-27 13:41:00
8,21.96,21.96,21.89,21.89,400,2022-05-27 13:42:00
9,21.78,21.78,21.78,21.78,139,2022-05-27 13:44:00
10,22.04,22.04,22.04,22.04,100,2022-05-27 13:48:00
11,21.83,21.93,21.83,21.93,331,2022-05-27 13:50:00
12,21.9525,22.07,21.935,22.07,300,2022-05-27 13:52:00
13,22.25,22.25,22.2,22.2,200,2022-05-27 13:54:00
14,22.17,22.265,22.16,22.16,948,2022-05-27 13:57:00
15,22.15,22.1515,22.12,22.145,3549,2022-05-27 13:58:00
16,22.145,22.145,22.1,22.1,1100,2022-05-27 13:59:00
17,22.14,22.19,22.11,22.19,2250,2022-05-27 14:00:00
18,22.2,22.2,22.2,22.2,200,2022-05-27 14:01:00
19,22.12,22.21,22.12,22.175,500,2022-05-27 14:05:00
20,22.18,22.18,22.16,22.16,300,2022-05-27 14:07:00
21,22.41,22.41,22.39,22.39,700,2022-05-27 14:14:00
22,22.42,22.46,22.37,22.38,700,2022-05-27 14:15:00
23,22.38,22.4,22.37,22.4,900,2022-05-27 14:17:00
24,22.34,22.39,22.34,22.39,400,2022-05-27 14:18:00
25,22.46,22.47,22.46,22.47,300,2022-05-27 14:22:00
26,22.45,22.515,22.45,22.45,809,2022-05-27 14:24:00
27,22.4501,22.4501,22.4501,22.4501,190,2022-05-27 14:25:00
28,22.495,22.535,22.49,22.5,1071,2022-05-27 14:26:00
29,22.48,22.48,22.48,22.48,100,2022-05-27 14:27:00
30,22.52,22.52,22.5,22.5,300,2022-05-27 14:29:00
31,22.62,22.62,22.62,22.62,100,2022-05-27 14:30:00
32,22.555,22.555,22.555,22.555,200,2022-05-27 14:31:00
33,22.59,22.59,22.59,22.59,100,2022-05-27 14:32:00
34,22.61,22.61,22.61,22.61,100,2022-05-27 14:33:00
35,22.66,22.66,22.62,22.62,300,2022-05-27 14:36:00
36,22.66,22.66,22.66,22.66,100,2022-05-27 14:37:00
37,22.61,22.61,22.61,22.61,500,2022-05-27 14:38:00
38,22.59,22.59,22.59,22.59,225,2022-05-27 14:39:00
39,22.53,22.53,22.5,22.5,500,2022-05-27 14:40:00
40,22.54,22.54,22.54,22.54,100,2022-05-27 14:41:00
41,22.42,22.43,22.42,22.43,590,2022-05-27 14:48:00
42,22.45,22.46,22.42,22.46,400,2022-05-27 14:49:00
43,22.52,22.52,22.52,22.52,100,2022-05-27 14:51:00
44,22.61,22.62,22.56,22.56,600,2022-05-27 14:54:00
45,22.52,22.52,22.45,22.475,1504,2022-05-27 14:55:00
46,22.45,22.45,22.45,22.45,100,2022-05-27 14:56:00
47,22.5075,22.5075,22.5075,22.5075,100,2022-05-27 14:57:00
48,22.6,22.6,22.6,22.6,100,2022-05-27 14:58:00
49,22.65,22.65,22.65,22.65,100,2022-05-27 14:59:00
50,22.7,22.7,22.68,22.68,300,2022-05-27 15:00:00
51,22.63,22.63,22.62,22.62,200,2022-05-27 15:01:00
52,22.58,22.58,22.58,22.58,100,2022-05-27 15:02:00
53,22.56,22.62,22.56,22.62,300,2022-05-27 15:03:00
54,22.64,22.64,22.64,22.64,100,2022-05-27 15:04:00
55,22.555,22.555,22.555,22.555,100,2022-05-27 15:05:00
56,22.55,22.55,22.55,22.55,100,2022-05-27 15:06:00
57,22.555,22.555,22.555,22.555,100,2022-05-27 15:07:00
58,22.545,22.545,22.545,22.545,100,2022-05-27 15:09:00
59,22.545,22.545,22.545,22.545,154,2022-05-27 15:10:00
60,22.55,22.55,22.52,22.52,600,2022-05-27 15:11:00
61,22.535,22.535,22.535,22.535,100,2022-05-27 15:14:00
62,22.54,22.57,22.54,22.56,400,2022-05-27 15:16:00
63,22.59,22.59,22.59,22.59,103,2022-05-27 15:17:00
64,22.55,22.55,22.55,22.55,100,2022-05-27 15:21:00
65,22.5426,22.5426,22.5426,22.5426,160,2022-05-27 15:22:00
66,22.54,22.54,22.51,22.53,1500,2022-05-27 15:25:00
67,22.54,22.54,22.54,22.54,100,2022-05-27 15:29:00
68,22.5575,22.5575,22.5575,22.5575,100,2022-05-27 15:30:00
69,22.58,22.58,22.58,22.58,400,2022-05-27 15:32:00
70,22.615,22.615,22.58,22.58,200,2022-05-27 15:34:00
71,22.59,22.6,22.5675,22.575,500,2022-05-27 15:35:00
72,22.59,22.59,22.53,22.53,400,2022-05-27 15:36:00
73,22.52,22.52,22.52,22.52,100,2022-05-27 15:38:00
74,22.49,22.49,22.49,22.49,100,2022-05-27 15:41:00
75,22.46,22.46,22.46,22.46,100,2022-05-27 15:42:00
76,22.48,22.48,22.48,22.48,100,2022-05-27 15:44:00
77,22.44,22.44,22.44,22.44,100,2022-05-27 15:45:00
78,22.48,22.48,22.48,22.48,100,2022-05-27 15:46:00
79,22.48,22.48,22.48,22.48,200,2022-05-27 15:49:00
80,22.475,22.475,22.475,22.475,100,2022-05-27 15:50:00
81,22.505,22.505,22.505,22.505,100,2022-05-27 15:54:00
82,22.48,22.495,22.48,22.495,200,2022-05-27 15:56:00
83,22.52,22.53,22.52,22.52,600,2022-05-27 15:57:00
84,22.5,22.5,22.5,22.5,100,2022-05-27 16:00:00
85,22.52,22.52,22.51,22.51,400,2022-05-27 16:01:00
86,22.51,22.51,22.5,22.5,200,2022-05-27 16:02:00
87,22.48,22.48,22.48,22.48,300,2022-05-27 16:03:00
88,22.445,22.445,22.445,22.445,100,2022-05-27 16:04:00
89,22.44,22.44,22.44,22.44,100,2022-05-27 16:05:00
90,22.46,22.47,22.45,22.455,900,2022-05-27 16:10:00
91,22.47,22.47,22.45,22.45,600,2022-05-27 16:11:00
92,22.47,22.47,22.47,22.47,100,2022-05-27 16:14:00
93,22.44,22.44,22.44,22.44,100,2022-05-27 16:15:00
94,22.315,22.315,22.315,22.315,300,2022-05-27 16:18:00
95,22.35,22.35,22.35,22.35,100,2022-05-27 16:21:00
96,22.35,22.35,22.35,22.35,100,2022-05-27 16:22:00
97,22.34,22.345,22.34,22.345,300,2022-05-27 16:24:00
98,22.35,22.36,22.35,22.36,1100,2022-05-27 16:26:00
99,22.31,22.31,22.3,22.3,300,2022-05-27 16:29:00
100,22.265,22.265,22.265,22.265,200,2022-05-27 16:34:00
101,22.33,22.33,22.32,22.32,200,2022-05-27 16:37:00
102,22.34,22.34,22.34,22.34,100,2022-05-27 16:39:00
103,22.35,22.35,22.35,22.35,100,2022-05-27 16:40:00
104,22.36,22.36,22.29,22.29,600,2022-05-27 16:44:00
105,22.27,22.27,22.26,22.26,300,2022-05-27 16:47:00
106,22.255,22.255,22.255,22.255,100,2022-05-27 16:48:00
107,22.23,22.23,22.23,22.23,300,2022-05-27 16:49:00
108,22.22,22.22,22.22,22.22,200,2022-05-27 16:50:00
109,22.245,22.28,22.245,22.28,249,2022-05-27 16:52:00
110,22.375,22.375,22.375,22.375,100,2022-05-27 16:57:00
111,22.35,22.35,22.35,22.35,100,2022-05-27 16:58:00
112,22.32,22.32,22.28,22.28,700,2022-05-27 17:01:00
113,22.32,22.3275,22.28,22.28,1000,2022-05-27 17:02:00
114,22.295,22.295,22.295,22.295,100,2022-05-27 17:03:00
115,22.325,22.325,22.325,22.325,100,2022-05-27 17:09:00
116,22.35,22.35,22.35,22.35,100,2022-05-27 17:12:00
117,22.355,22.355,22.355,22.355,100,2022-05-27 17:17:00
118,22.4,22.4,22.4,22.4,100,2022-05-27 17:23:00
119,22.395,22.41,22.39,22.39,900,2022-05-27 17:24:00
120,22.41,22.41,22.39,22.405,550,2022-05-27 17:25:00
121,22.405,22.405,22.405,22.405,100,2022-05-27 17:26:00
122,22.4,22.4,22.4,22.4,100,2022-05-27 17:27:00
123,22.42,22.42,22.41,22.41,200,2022-05-27 17:28:00
124,22.4,22.42,22.39,22.39,1527,2022-05-27 17:29:00
125,22.405,22.405,22.405,22.405,100,2022-05-27 17:30:00
126,22.4249,22.4249,22.4249,22.4249,131,2022-05-27 17:32:00
127,22.425,22.425,22.425,22.425,100,2022-05-27 17:33:00
128,22.44,22.44,22.44,22.44,200,2022-05-27 17:37:00
129,22.48,22.48,22.46,22.48,616,2022-05-27 17:38:00
130,22.48,22.48,22.48,22.48,100,2022-05-27 17:40:00
131,22.51,22.51,22.5,22.5,400,2022-05-27 17:41:00
132,22.4905,22.5,22.47,22.47,1100,2022-05-27 17:42:00
133,22.45,22.45,22.45,22.45,100,2022-05-27 17:44:00
134,22.4,22.4,22.4,22.4,100,2022-05-27 17:45:00
135,22.42,22.42,22.42,22.42,100,2022-05-27 17:46:00
136,22.45,22.45,22.44,22.45,300,2022-05-27 17:47:00
137,22.49,22.49,22.49,22.49,100,2022-05-27 17:49:00
138,22.47,22.495,22.47,22.495,200,2022-05-27 17:50:00
139,22.5,22.5,22.5,22.5,250,2022-05-27 17:53:00
140,22.5,22.5,22.5,22.5,100,2022-05-27 17:54:00
141,22.49,22.49,22.45,22.45,500,2022-05-27 17:55:00
142,22.48,22.48,22.48,22.48,100,2022-05-27 17:58:00
143,22.49,22.49,22.49,22.49,100,2022-05-27 18:00:00
144,22.525,22.525,22.49,22.49,403,2022-05-27 18:02:00
145,22.535,22.535,22.535,22.535,100,2022-05-27 18:05:00
146,22.53,22.53,22.53,22.53,100,2022-05-27 18:10:00
147,22.52,22.52,22.52,22.52,400,2022-05-27 18:14:00
148,22.53,22.53,22.53,22.53,100,2022-05-27 18:16:00
149,22.52,22.52,22.52,22.52,200,2022-05-27 18:24:00
150,22.53,22.53,22.53,22.53,100,2022-05-27 18:25:00
151,22.505,22.505,22.505,22.505,100,2022-05-27 18:26:00
152,22.48,22.48,22.48,22.48,200,2022-05-27 18:27:00
153,22.5,22.5,22.5,22.5,100,2022-05-27 18:28:00
154,22.535,22.535,22.535,22.535,100,2022-05-27 18:33:00
155,22.56,22.56,22.56,22.56,100,2022-05-27 18:36:00
156,22.57,22.57,22.545,22.545,600,2022-05-27 18:38:00
157,22.535,22.535,22.535,22.535,100,2022-05-27 18:39:00
158,22.55,22.55,22.55,22.55,100,2022-05-27 18:44:00
159,22.56,22.56,22.56,22.56,200,2022-05-27 18:49:00
