,open,high,low,close,volume,datetime
0,2.197,2.2,2.197,2.2,200,2022-05-27 12:54:00
1,2.1,2.1,2.1,2.1,100,2022-05-27 13:22:00
2,2.17,2.17,2.17,2.17,1306,2022-05-27 13:30:00
3,2.1699,2.1699,2.1699,2.1699,100,2022-05-27 13:43:00
4,2.0201,2.0201,2.0201,2.0201,1132,2022-05-27 13:44:00
5,2.1499,2.1499,2.1499,2.1499,3202,2022-05-27 13:45:00
6,2.1,2.1,2.1,2.1,125,2022-05-27 13:46:00
7,2.0301,2.0301,2.0301,2.0301,5000,2022-05-27 14:11:00
8,2.17,2.2,2.15,2.2,1000,2022-05-27 14:15:00
9,2.18,2.18,2.18,2.18,306,2022-05-27 14:26:00
10,2.18,2.18,2.18,2.18,514,2022-05-27 14:34:00
11,2.11,2.11,2.11,2.11,474,2022-05-27 14:37:00
12,2.18,2.19,2.18,2.19,400,2022-05-27 14:42:00
13,2.19,2.2,2.19,2.2,1200,2022-05-27 14:43:00
14,2.21,2.23,2.18,2.21,600,2022-05-27 14:45:00
15,2.2,2.22,2.18,2.22,7586,2022-05-27 14:54:00
16,2.25,2.25,2.21,2.21,629,2022-05-27 14:58:00
17,2.25,2.25,2.25,2.25,100,2022-05-27 14:59:00
18,2.25,2.25,2.23,2.25,500,2022-05-27 15:07:00
19,2.201,2.201,2.201,2.201,500,2022-05-27 15:08:00
20,2.23,2.28,2.23,2.28,700,2022-05-27 15:09:00
21,2.251,2.26,2.25,2.25,2600,2022-05-27 15:10:00
22,2.3099,2.3099,2.3099,2.3099,100,2022-05-27 15:15:00
23,2.26,2.26,2.25,2.25,1000,2022-05-27 15:17:00
24,2.25,2.25,2.25,2.25,700,2022-05-27 15:18:00
25,2.2008,2.245,2.2008,2.245,253,2022-05-27 15:30:00
26,2.24,2.24,2.24,2.24,1350,2022-05-27 15:34:00
27,2.3,2.3,2.3,2.3,1108,2022-05-27 15:38:00
28,2.3,2.3,2.3,2.3,300,2022-05-27 15:41:00
29,2.31,2.31,2.31,2.31,100,2022-05-27 15:42:00
30,2.31,2.31,2.31,2.31,700,2022-05-27 15:45:00
31,2.2558,2.2558,2.2558,2.2558,200,2022-05-27 15:48:00
32,2.26,2.26,2.26,2.26,1000,2022-05-27 15:49:00
33,2.3063,2.3063,2.3063,2.3063,190,2022-05-27 15:55:00
34,2.3,2.3,2.3,2.3,200,2022-05-27 15:56:00
35,2.26,2.3,2.25,2.3,1400,2022-05-27 15:57:00
36,2.3,2.3,2.28,2.28,600,2022-05-27 15:58:00
37,2.25,2.25,2.2,2.2,3301,2022-05-27 15:59:00
38,2.25,2.27,2.25,2.27,1200,2022-05-27 16:00:00
39,2.27,2.27,2.27,2.27,700,2022-05-27 16:01:00
40,2.27,2.27,2.25,2.27,800,2022-05-27 16:02:00
41,2.23,2.23,2.23,2.23,700,2022-05-27 16:03:00
42,2.24,2.25,2.2,2.25,6399,2022-05-27 16:04:00
43,2.18,2.25,2.18,2.22,700,2022-05-27 16:05:00
44,2.25,2.25,2.25,2.25,100,2022-05-27 16:09:00
45,2.25,2.27,2.23,2.23,1500,2022-05-27 16:11:00
46,2.275,2.275,2.2505,2.26,3190,2022-05-27 16:16:00
47,2.29,2.29,2.29,2.29,100,2022-05-27 16:20:00
48,2.26,2.26,2.25,2.26,2000,2022-05-27 16:25:00
49,2.27,2.27,2.24,2.24,300,2022-05-27 16:36:00
50,2.25,2.25,2.25,2.25,300,2022-05-27 17:09:00
51,2.25,2.25,2.25,2.25,613,2022-05-27 17:10:00
52,2.21,2.21,2.21,2.21,100,2022-05-27 17:15:00
53,2.25,2.25,2.25,2.25,300,2022-05-27 17:37:00
54,2.25,2.27,2.22,2.27,1000,2022-05-27 17:41:00
55,2.27,2.3,2.27,2.3,900,2022-05-27 17:43:00
56,2.25,2.29,2.25,2.29,224,2022-05-27 17:55:00
57,2.255,2.255,2.255,2.255,108,2022-05-27 18:02:00
58,2.2101,2.2101,2.2101,2.2101,500,2022-05-27 18:37:00
59,2.23,2.23,2.21,2.21,1100,2022-05-27 18:56:00
60,2.22,2.22,2.22,2.22,100,2022-05-27 18:58:00
61,2.25,2.25,2.25,2.25,1000,2022-05-27 18:59:00
62,2.25,2.27,2.23,2.27,700,2022-05-27 19:00:00
63,2.24,2.24,2.23,2.23,1500,2022-05-27 19:03:00
64,2.24,2.24,2.23,2.23,300,2022-05-27 19:11:00
65,2.24,2.24,2.23,2.2305,3200,2022-05-27 19:12:00
66,2.22,2.23,2.22,2.23,200,2022-05-27 19:15:00
67,2.2,2.22,2.18,2.18,1877,2022-05-27 19:22:00
68,2.2,2.2,2.2,2.2,100,2022-05-27 19:28:00
69,2.25,2.25,2.25,2.25,100,2022-05-27 19:43:00
70,2.25,2.27,2.25,2.27,500,2022-05-27 19:51:00
71,2.26,2.26,2.26,2.26,400,2022-05-27 19:58:00
72,2.26,2.27,2.26,2.26,490,2022-05-27 19:59:00
73,2.2,2.2,2.2,2.2,1657,2022-05-27 20:35:00
74,2.35,2.35,2.35,2.35,500,2022-05-31 13:07:00
75,2.34,2.34,2.3101,2.3101,1815,2022-05-31 13:30:00
76,2.31,2.31,2.31,2.31,296,2022-05-31 13:34:00
77,2.27,2.27,2.2137,2.2137,800,2022-05-31 13:48:00
78,2.1274,2.1274,2.1274,2.1274,150,2022-05-31 13:51:00
79,2.2,2.2,2.2,2.2,100,2022-05-31 13:52:00
80,2.25,2.25,2.25,2.25,100,2022-05-31 13:55:00
81,2.3032,2.3032,2.2501,2.2501,2174,2022-05-31 14:00:00
82,2.28,2.28,2.28,2.28,2000,2022-05-31 14:17:00
83,2.26,2.31,2.26,2.26,986,2022-05-31 14:31:00
84,2.26,2.26,2.26,2.26,100,2022-05-31 14:53:00
85,2.26,2.26,2.26,2.26,100,2022-05-31 15:03:00
86,2.25,2.25,2.25,2.25,200,2022-05-31 15:08:00
87,2.22,2.22,2.22,2.22,300,2022-05-31 15:19:00
88,2.26,2.26,2.26,2.26,200,2022-05-31 15:29:00
89,2.1702,2.1702,2.1702,2.1702,100,2022-05-31 16:14:00
90,2.26,2.26,2.26,2.26,100,2022-05-31 16:28:00
91,2.25,2.26,2.22,2.258,5100,2022-05-31 16:55:00
92,2.23,2.23,2.23,2.23,300,2022-05-31 17:36:00
93,2.26,2.26,2.26,2.26,100,2022-05-31 17:37:00
94,2.2,2.2,2.2,2.2,100,2022-05-31 18:51:00
95,2.22,2.22,2.22,2.22,300,2022-05-31 19:10:00
96,2.2,2.2,2.08,2.08,3150,2022-05-31 19:14:00
97,2.18,2.21,2.18,2.21,200,2022-05-31 19:23:00
98,2.2,2.2,2.2,2.2,100,2022-05-31 19:36:00
99,2.21,2.21,2.21,2.21,100,2022-05-31 19:56:00
100,2.21,2.21,2.21,2.21,100,2022-05-31 19:57:00
